,Date,DL,Tons,Direct,Earned
0,03/30/2021 11:58 PM,164.15%,45.78,387.9,636.8
1,03/31/2021 5:43 AM,38.71%,0.63,17.8,6.91
2,03/31/2021 5:58 AM,28.43%,0.63,24.3,6.91
3,03/31/2021 6:13 AM,26.14%,0.73,30.8,8.04
4,03/31/2021 6:28 AM,21.52%,0.73,37.4,8.04
5,03/31/2021 6:43 AM,26.32%,1.07,44.4,11.69
6,03/31/2021 6:58 AM,23.72%,1.11,51.2,12.14
7,03/31/2021 7:13 AM,36.21%,1.73,58.1,21.04
8,03/31/2021 7:28 AM,33.05%,1.77,65.1,21.52
9,03/31/2021 7:43 AM,29.72%,1.77,72.4,21.52
10,03/31/2021 7:58 AM,26.27%,1.77,81.9,21.52
11,03/31/2021 8:28 AM,22.21%,1.77,96.9,21.52
12,03/31/2021 8:43 AM,20.61%,1.77,104.4,21.52
13,03/31/2021 8:58 AM,19.23%,1.77,111.9,21.52
14,03/31/2021 9:28 AM,34.25%,3.36,126.9,43.46
15,03/31/2021 9:43 AM,34.68%,3.65,134.5,46.66
16,03/31/2021 9:58 AM,32.50%,3.65,143.6,46.66
17,03/31/2021 10:13 AM,30.87%,3.65,151.2,46.66
18,03/31/2021 10:28 AM,29.45%,3.65,158.4,46.66
19,03/31/2021 10:58 AM,27.03%,3.65,172.6,46.66
20,03/31/2021 11:28 AM,26.23%,3.65,177.9,46.66
21,03/31/2021 11:58 AM,24.43%,3.65,191.0,46.66
22,03/31/2021 12:13 PM,23.43%,3.65,199.1,46.66
23,03/31/2021 12:28 PM,22.55%,3.65,206.9,46.66
24,03/31/2021 12:43 PM,21.79%,3.65,214.1,46.66
25,03/31/2021 1:58 PM,18.64%,3.65,251.8,46.94
26,03/31/2021 2:13 PM,20.12%,4.1,259.1,52.12
27,03/31/2021 2:43 PM,128.58%,25.12,273.6,351.72
28,03/31/2021 2:58 PM,125.43%,25.12,280.6,351.97
29,03/31/2021 3:13 PM,122.54%,25.12,287.4,352.22
30,03/31/2021 3:43 PM,173.99%,36.91,297.7,517.9
31,03/31/2021 3:58 PM,173.52%,36.91,298.5,517.9
32,03/31/2021 4:13 PM,172.94%,36.91,299.5,517.9
33,03/31/2021 4:28 PM,172.26%,36.91,300.7,517.9
34,03/31/2021 4:58 PM,170.11%,36.91,304.5,517.9
35,03/31/2021 5:28 PM,168.14%,36.91,308.0,517.9
36,03/31/2021 5:43 PM,167.19%,36.91,309.8,517.9
37,03/31/2021 6:13 PM,165.32%,36.91,313.3,517.9
38,03/31/2021 6:28 PM,164.40%,36.91,315.0,517.9
39,03/31/2021 6:43 PM,163.49%,36.91,316.8,517.9
40,03/31/2021 6:58 PM,162.59%,36.91,318.5,517.9
41,03/31/2021 7:13 PM,161.71%,36.91,320.3,517.9
42,03/31/2021 7:28 PM,160.83%,36.91,322.0,517.9
43,03/31/2021 8:13 PM,158.25%,36.91,327.3,517.9
44,03/31/2021 8:58 PM,155.75%,36.91,332.5,517.9
45,03/31/2021 9:28 PM,154.13%,36.91,336.0,517.9
46,03/31/2021 9:43 PM,153.33%,36.91,337.8,517.9
47,03/31/2021 9:58 PM,152.62%,36.91,339.3,517.9
48,03/31/2021 10:13 PM,151.95%,36.91,340.8,517.9
49,03/31/2021 10:28 PM,151.29%,36.91,342.3,517.9
50,03/31/2021 10:43 PM,151.03%,36.91,342.9,517.9
51,03/31/2021 10:58 PM,150.83%,36.91,343.4,517.9
52,03/31/2021 11:13 PM,150.22%,36.91,344.8,517.9
53,03/31/2021 11:28 PM,149.48%,36.91,346.5,517.98
54,03/31/2021 11:43 PM,148.80%,36.91,348.3,518.23
55,03/31/2021 11:58 PM,148.13%,36.91,350.0,518.48
