,Date,DL,Tons,Direct,Earned,EVA
0,06/10/2021 11:48 PM,45.69%,8.57,267.6,122.25,16.3
1,06/11/2021 5:33 AM,0.00%,0.0,11.5,0.0,0.0
2,06/11/2021 5:48 AM,0.00%,0.0,17.2,0.0,0.0
3,06/11/2021 6:03 AM,237.56%,3.85,23.0,54.59,13.1
4,06/11/2021 6:18 AM,191.68%,3.85,28.5,54.59,13.1
5,06/11/2021 6:33 AM,160.65%,3.85,34.0,54.59,13.1
6,06/11/2021 6:48 AM,0.00%,0.0,39.6,0.0,0.0
7,06/11/2021 7:03 AM,0.00%,0.0,45.6,0.0,0.0
8,06/11/2021 7:18 AM,0.00%,0.0,52.0,0.0,0.0
9,06/11/2021 7:33 AM,0.00%,0.0,58.5,0.0,0.0
10,06/11/2021 7:48 AM,0.00%,0.0,65.0,0.0,0.0
11,06/11/2021 8:03 AM,0.00%,0.0,71.5,0.0,0.0
12,06/11/2021 8:18 AM,0.00%,0.0,78.0,0.0,0.0
13,06/11/2021 8:33 AM,0.00%,0.0,84.5,0.0,0.0
14,06/11/2021 8:48 AM,0.00%,0.0,91.0,0.0,0.0
15,06/11/2021 9:03 AM,0.00%,0.0,97.3,0.0,0.0
16,06/11/2021 9:18 AM,0.00%,0.0,103.8,0.0,0.0
17,06/11/2021 9:33 AM,0.00%,0.0,110.3,0.0,0.0
18,06/11/2021 9:48 AM,0.00%,0.0,116.4,0.0,0.0
19,06/11/2021 10:03 AM,0.00%,0.0,122.8,0.0,0.0
20,06/11/2021 10:18 AM,0.00%,0.0,128.8,0.0,0.0
21,06/11/2021 10:33 AM,0.00%,0.0,134.5,0.0,0.0
22,06/11/2021 10:48 AM,0.00%,0.0,140.5,0.0,0.0
23,06/11/2021 11:04 AM,0.00%,0.0,146.4,0.0,0.0
24,06/11/2021 11:18 AM,0.00%,0.0,150.6,0.0,0.0
25,06/11/2021 11:33 AM,0.00%,0.0,154.6,0.0,0.0
26,06/11/2021 11:48 AM,0.00%,0.0,161.9,0.0,0.0
27,06/11/2021 12:03 PM,0.00%,0.0,170.2,0.0,0.0
28,06/11/2021 12:18 PM,12.50%,1.59,178.4,22.3,0.0
29,06/11/2021 12:33 PM,71.89%,9.48,186.7,134.22,0.0
30,06/11/2021 12:48 PM,68.85%,9.48,194.9,134.22,0.0
31,06/11/2021 1:03 PM,66.11%,9.48,203.0,134.22,0.0
32,06/11/2021 1:18 PM,63.64%,9.48,210.9,134.22,0.0
33,06/11/2021 1:33 PM,61.40%,9.48,218.6,134.22,0.0
34,06/11/2021 1:48 PM,60.29%,9.48,222.6,134.22,0.0
35,06/11/2021 2:03 PM,59.53%,9.48,225.5,134.22,0.0
36,06/11/2021 2:18 PM,58.88%,9.48,228.0,134.22,0.0
37,06/11/2021 2:33 PM,58.31%,9.48,230.2,134.22,0.0
38,06/11/2021 2:48 PM,57.74%,9.48,232.5,134.22,0.0
39,06/11/2021 3:03 PM,57.19%,9.48,234.7,134.22,0.0
40,06/11/2021 3:18 PM,56.64%,9.48,237.0,134.22,0.0
41,06/11/2021 3:34 PM,56.11%,9.48,239.2,134.22,0.0
42,06/11/2021 3:48 PM,55.65%,9.48,241.2,134.22,0.0
43,06/11/2021 4:04 PM,55.19%,9.48,243.2,134.22,0.0
44,06/11/2021 4:19 PM,54.87%,9.48,244.6,134.22,0.0
45,06/11/2021 4:33 PM,54.82%,9.48,244.8,134.22,0.0
46,06/11/2021 4:48 PM,54.77%,9.48,245.1,134.22,0.0
47,06/11/2021 5:03 PM,54.71%,9.48,245.3,134.22,0.0
48,06/11/2021 5:19 PM,54.65%,9.48,245.6,134.22,0.0
49,06/11/2021 5:33 PM,54.60%,9.48,245.8,134.22,0.0
50,06/11/2021 5:48 PM,54.54%,9.48,246.1,134.22,0.0
51,06/11/2021 6:03 PM,54.49%,9.48,246.3,134.22,0.0
52,06/11/2021 6:18 PM,54.43%,9.48,246.6,134.22,0.0
53,06/11/2021 6:33 PM,54.38%,9.48,246.8,134.22,0.0
54,06/11/2021 6:48 PM,54.32%,9.48,247.1,134.22,0.0
55,06/11/2021 7:03 PM,54.27%,9.48,247.3,134.22,0.0
56,06/11/2021 7:19 PM,54.21%,9.48,247.6,134.22,0.0
57,06/11/2021 7:33 PM,54.16%,9.48,247.8,134.22,0.0
58,06/11/2021 7:48 PM,54.10%,9.48,248.1,134.22,0.0
59,06/11/2021 8:03 PM,54.05%,9.48,248.3,134.22,0.0
60,06/11/2021 8:18 PM,53.99%,9.48,248.6,134.22,0.0
61,06/11/2021 8:33 PM,53.94%,9.48,248.8,134.22,0.0
62,06/11/2021 8:48 PM,53.89%,9.48,249.1,134.22,0.0
63,06/11/2021 9:03 PM,53.83%,9.48,249.3,134.22,0.0
64,06/11/2021 9:18 PM,53.78%,9.48,249.6,134.22,0.0
65,06/11/2021 9:34 PM,53.72%,9.48,249.8,134.22,0.0
66,06/11/2021 9:48 PM,53.67%,9.48,250.1,134.22,0.0
67,06/11/2021 10:03 PM,53.62%,9.48,250.3,134.22,0.0
68,06/11/2021 10:19 PM,53.56%,9.48,250.6,134.22,0.0
69,06/11/2021 10:33 PM,53.51%,9.48,250.8,134.22,0.0
70,06/11/2021 10:48 PM,53.46%,9.48,251.1,134.22,0.0
71,06/11/2021 11:03 PM,53.40%,9.48,251.3,134.22,0.0
72,06/11/2021 11:18 PM,53.35%,9.48,251.6,134.22,0.0
73,06/11/2021 11:33 PM,53.30%,9.48,251.8,134.22,0.0
74,06/11/2021 11:48 PM,53.24%,9.48,252.1,134.22,0.0
