,Date,DL,Tons,Direct,Earned,EVA
0,06/30/2021 11:47 PM,83.00%,19.52,268.0,223.0,75
1,07/01/2021 5:32 AM,0.00%,0.0,0.0,0.0,0
2,07/01/2021 5:47 AM,0.00%,0.0,0.0,0.0,0
3,07/01/2021 6:02 AM,0.00%,0.0,1.0,0.0,0
4,07/01/2021 6:17 AM,0.00%,0.0,7.0,0.0,0
5,07/01/2021 6:32 AM,0.00%,0.0,14.0,0.0,0
6,07/01/2021 6:47 AM,12.00%,0.21,20.0,2.0,0
7,07/01/2021 7:02 AM,38.00%,0.89,27.0,10.0,0
8,07/01/2021 7:17 AM,30.00%,0.89,34.0,10.0,0
9,07/01/2021 7:32 AM,25.00%,0.89,40.0,10.0,0
10,07/01/2021 7:47 AM,28.00%,1.15,47.0,13.0,0
11,07/01/2021 8:02 AM,25.00%,1.15,54.0,13.0,0
12,07/01/2021 8:14 AM,22.00%,1.15,59.0,13.0,0
13,07/01/2021 8:17 AM,22.00%,1.15,60.0,13.0,0
14,07/01/2021 8:32 AM,20.00%,1.15,67.0,13.0,0
15,07/01/2021 8:47 AM,18.00%,1.15,74.0,13.0,0
16,07/01/2021 9:02 AM,16.00%,1.15,81.0,13.0,0
17,07/01/2021 9:17 AM,15.00%,1.15,87.0,13.0,0
18,07/01/2021 9:32 AM,14.00%,1.15,94.0,13.0,0
19,07/01/2021 9:47 AM,47.00%,4.12,100.0,47.0,0
20,07/01/2021 10:02 AM,49.00%,4.57,106.0,52.0,0
21,07/01/2021 10:17 AM,70.00%,6.9,112.0,79.0,0
22,07/01/2021 10:32 AM,92.00%,9.58,119.0,109.0,0
23,07/01/2021 11:02 AM,95.00%,10.94,131.0,125.0,0
24,07/01/2021 11:17 AM,91.00%,10.94,138.0,125.0,0
25,07/01/2021 11:32 AM,96.00%,12.12,144.0,138.0,0
26,07/01/2021 11:47 AM,101.00%,13.3,151.0,152.0,0
27,07/01/2021 12:02 PM,104.00%,14.16,156.0,162.0,0
28,07/01/2021 12:17 PM,103.00%,14.16,158.0,162.0,0
29,07/01/2021 12:32 PM,101.00%,14.16,160.0,162.0,0
30,07/01/2021 12:47 PM,98.00%,14.16,166.0,162.0,0
31,07/01/2021 1:02 PM,94.00%,14.16,172.0,162.0,0
32,07/01/2021 1:17 PM,93.00%,14.45,178.0,165.0,0
33,07/01/2021 1:32 PM,91.00%,14.75,185.0,169.0,0
34,07/01/2021 1:47 PM,88.00%,14.75,191.0,169.0,0
35,07/01/2021 2:02 PM,85.00%,14.75,198.0,169.0,0
36,07/01/2021 2:17 PM,91.00%,16.18,204.0,185.0,0
37,07/01/2021 2:33 PM,89.00%,16.41,211.0,188.0,0
38,07/01/2021 2:47 PM,93.00%,17.59,216.0,201.0,0
39,07/01/2021 3:03 PM,91.00%,17.59,221.0,201.0,0
40,07/01/2021 3:18 PM,89.00%,17.59,226.0,201.0,0
41,07/01/2021 3:32 PM,91.00%,18.74,235.0,214.0,0
42,07/01/2021 3:48 PM,95.00%,20.73,248.0,237.0,73
43,07/01/2021 4:03 PM,94.00%,20.73,252.0,237.0,73
44,07/01/2021 4:17 PM,93.00%,20.73,256.0,237.0,73
45,07/01/2021 4:33 PM,91.00%,20.73,260.0,237.0,73
46,07/01/2021 4:48 PM,91.00%,20.73,261.0,237.0,73
47,07/01/2021 5:03 PM,90.00%,20.73,262.0,237.0,73
48,07/01/2021 5:18 PM,90.00%,20.73,264.0,237.0,73
49,07/01/2021 5:32 PM,89.00%,20.73,265.0,237.0,73
50,07/01/2021 5:47 PM,89.00%,20.73,267.0,237.0,73
51,07/01/2021 6:03 PM,88.00%,20.73,268.0,237.0,73
52,07/01/2021 6:17 PM,88.00%,20.73,270.0,237.0,73
53,07/01/2021 6:32 PM,87.00%,20.73,271.0,237.0,73
54,07/01/2021 6:47 PM,87.00%,20.73,273.0,237.0,73
55,07/01/2021 7:02 PM,87.00%,20.73,274.0,237.0,73
56,07/01/2021 7:17 PM,86.00%,20.73,276.0,237.0,73
57,07/01/2021 7:33 PM,85.00%,20.73,277.0,237.0,73
58,07/01/2021 7:48 PM,85.00%,20.73,279.0,237.0,73
59,07/01/2021 8:03 PM,84.00%,20.73,281.0,237.0,73
60,07/01/2021 8:17 PM,84.00%,20.73,283.0,237.0,73
61,07/01/2021 8:32 PM,83.00%,20.73,285.0,237.0,73
62,07/01/2021 8:47 PM,83.00%,20.73,287.0,237.0,73
63,07/01/2021 9:02 PM,82.00%,20.73,289.0,237.0,73
64,07/01/2021 9:17 PM,82.00%,20.73,291.0,237.0,73
65,07/01/2021 9:32 PM,81.00%,20.73,293.0,237.0,73
66,07/01/2021 9:47 PM,81.00%,20.91,294.0,239.0,73
67,07/01/2021 10:02 PM,81.00%,20.91,296.0,239.0,73
68,07/01/2021 10:17 PM,81.00%,21.01,297.0,240.0,73
69,07/01/2021 10:32 PM,82.00%,21.36,299.0,244.0,73
70,07/01/2021 10:47 PM,81.00%,21.36,301.0,244.0,73
71,07/01/2021 11:02 PM,81.00%,21.36,301.0,244.0,73
72,07/01/2021 11:18 PM,81.00%,21.36,303.0,244.0,73
73,07/01/2021 11:32 PM,80.21%,21.36,305.0,244.0,73
