,Date,DL,Tons,Direct,Earned
0,04/22/2021 11:58 PM,60.14%,14.17,316.8,190.5
1,04/23/2021 5:31 AM,144.96%,2.04,23.0,33.38
2,04/23/2021 5:43 AM,119.93%,2.04,28.0,33.6
3,04/23/2021 5:59 AM,99.19%,2.04,34.1,33.86
4,04/23/2021 6:14 AM,86.29%,2.04,39.5,34.1
5,04/23/2021 6:29 AM,75.29%,2.04,45.6,34.36
6,04/23/2021 6:44 AM,67.35%,2.04,51.4,34.61
7,04/23/2021 6:58 AM,63.17%,2.11,56.8,35.86
8,04/23/2021 7:14 AM,57.44%,2.11,62.9,36.12
9,04/23/2021 7:29 AM,53.26%,2.11,68.3,36.36
10,04/23/2021 7:44 AM,49.23%,2.11,74.4,36.62
11,04/23/2021 7:58 AM,46.77%,2.14,79.8,37.31
12,04/23/2021 8:14 AM,43.66%,2.14,86.0,37.57
13,04/23/2021 8:29 AM,52.04%,2.85,92.0,47.9
14,04/23/2021 8:44 AM,49.11%,2.85,98.0,48.15
15,04/23/2021 8:59 AM,46.69%,2.85,103.7,48.39
16,04/23/2021 9:14 AM,44.21%,2.85,110.0,48.65
17,04/23/2021 9:29 AM,42.14%,2.85,116.0,48.9
18,04/23/2021 9:43 AM,40.58%,2.85,121.1,49.14
19,04/23/2021 9:58 AM,39.15%,2.85,126.2,49.39
20,04/23/2021 10:14 AM,37.64%,2.85,131.9,49.65
21,04/23/2021 10:28 AM,36.36%,2.85,137.2,49.89
22,04/23/2021 10:43 AM,35.07%,2.85,143.0,50.14
23,04/23/2021 10:58 AM,36.14%,3.06,147.7,53.39
24,04/23/2021 11:28 AM,35.05%,3.06,153.8,53.89
25,04/23/2021 11:43 AM,34.07%,3.06,158.9,54.14
26,04/23/2021 11:58 AM,32.96%,3.06,165.0,54.39
27,04/23/2021 12:13 PM,31.90%,3.06,171.3,54.64
28,04/23/2021 12:28 PM,31.22%,3.1,177.5,55.4
29,04/23/2021 12:43 PM,30.20%,3.1,183.5,55.4
30,04/23/2021 12:59 PM,29.18%,3.1,189.9,55.4
31,04/23/2021 1:14 PM,28.34%,3.1,195.5,55.4
32,04/23/2021 1:29 PM,27.54%,3.1,201.2,55.4
33,04/23/2021 1:44 PM,27.27%,3.1,203.1,55.4
34,04/23/2021 1:58 PM,27.15%,3.1,204.1,55.4
35,04/23/2021 2:13 PM,26.93%,3.1,205.7,55.4
36,04/23/2021 2:29 PM,26.67%,3.1,207.7,55.4
37,04/23/2021 2:43 PM,26.39%,3.1,209.9,55.4
38,04/23/2021 2:58 PM,26.11%,3.1,212.2,55.4
39,04/23/2021 3:13 PM,25.82%,3.1,214.6,55.4
40,04/23/2021 3:28 PM,25.57%,3.1,216.7,55.4
41,04/23/2021 3:43 PM,25.31%,3.1,218.9,55.4
42,04/23/2021 3:58 PM,25.75%,3.21,221.2,56.96
43,04/23/2021 4:14 PM,25.49%,3.21,223.4,56.96
44,04/23/2021 4:28 PM,25.24%,3.21,225.7,56.96
45,04/23/2021 4:43 PM,24.99%,3.44,227.9,56.96
46,04/23/2021 4:58 PM,24.75%,3.44,230.2,56.96
47,04/23/2021 5:13 PM,24.51%,3.44,232.4,56.96
48,04/23/2021 5:29 PM,29.61%,4.33,234.8,69.53
49,04/23/2021 5:43 PM,29.35%,4.33,236.9,69.53
50,04/23/2021 5:58 PM,29.07%,4.33,239.2,69.53
51,04/23/2021 6:13 PM,28.80%,4.33,241.4,69.53
52,04/23/2021 6:28 PM,28.54%,4.33,243.7,69.53
53,04/23/2021 6:43 PM,54.89%,8.94,245.9,134.98
54,04/23/2021 6:59 PM,54.33%,8.94,248.5,134.98
55,04/23/2021 7:13 PM,54.42%,8.94,248.1,134.98
56,04/23/2021 7:28 PM,54.02%,8.94,249.9,134.98
57,04/23/2021 7:44 PM,53.68%,8.94,251.5,134.98
58,04/23/2021 7:58 PM,53.42%,8.94,252.7,134.98
59,04/23/2021 8:13 PM,54.04%,9.08,253.5,136.96
60,04/23/2021 8:28 PM,53.90%,9.08,254.1,136.96
61,04/23/2021 8:43 PM,53.67%,9.08,255.2,136.96
62,04/23/2021 8:58 PM,53.41%,9.08,256.4,136.96
63,04/23/2021 9:14 PM,53.11%,9.08,257.9,136.96
64,04/23/2021 9:28 PM,52.81%,9.08,259.4,136.96
65,04/23/2021 9:43 PM,52.50%,9.08,260.9,136.96
66,04/23/2021 9:58 PM,54.23%,9.45,262.4,142.28
67,04/23/2021 10:13 PM,53.92%,9.45,263.9,142.28
68,04/23/2021 10:28 PM,54.19%,9.56,265.4,143.83
69,04/23/2021 10:43 PM,54.13%,9.56,265.7,143.83
70,04/23/2021 10:58 PM,54.13%,9.56,265.7,143.83
71,04/23/2021 11:13 PM,54.13%,9.56,265.7,143.83
72,04/23/2021 11:28 PM,54.13%,9.56,265.7,143.83
73,04/23/2021 11:43 PM,54.13%,9.56,265.7,143.83
74,04/23/2021 11:58 PM,54.13%,9.56,265.7,143.83
