,Date,DL,Tons,Direct,Earned
0,05/12/2021 11:59 PM,52.16%,9.69,283.6,147.93
1,05/13/2021 4:58 AM,53.33%,0.0,12.8,6.8
2,05/13/2021 5:13 AM,43.82%,0.0,17.2,7.55
3,05/13/2021 5:28 AM,37.79%,0.0,22.4,8.48
4,05/13/2021 5:43 AM,33.49%,0.0,28.3,9.48
5,05/13/2021 5:59 AM,30.39%,0.0,34.5,10.48
6,05/13/2021 6:14 AM,28.18%,0.0,40.7,11.48
7,05/13/2021 6:29 AM,26.56%,0.0,47.0,12.48
8,05/13/2021 6:44 AM,25.32%,0.0,53.2,13.48
9,05/13/2021 6:59 AM,24.34%,0.0,59.5,14.48
10,05/13/2021 7:14 AM,23.55%,0.0,65.7,15.48
11,05/13/2021 7:29 AM,22.89%,0.0,72.0,16.48
12,05/13/2021 7:44 AM,22.34%,0.0,78.2,17.48
13,05/13/2021 7:59 AM,21.87%,0.0,84.5,18.48
14,05/13/2021 8:14 AM,21.47%,0.0,90.7,19.48
15,05/13/2021 8:29 AM,21.12%,0.0,97.0,20.48
16,05/13/2021 8:44 AM,20.81%,0.0,103.2,21.48
17,05/13/2021 8:59 AM,20.50%,0.0,109.7,22.48
18,05/13/2021 9:14 AM,20.19%,0.0,116.6,23.55
19,05/13/2021 9:29 AM,19.95%,0.0,122.7,24.48
20,05/13/2021 9:44 AM,19.75%,0.27,129.0,25.48
21,05/13/2021 9:59 AM,19.50%,0.27,134.9,26.3
22,05/13/2021 10:14 AM,20.64%,0.41,141.0,29.1
23,05/13/2021 10:29 AM,20.42%,0.41,147.2,30.05
24,05/13/2021 10:44 AM,20.32%,0.41,152.5,30.98
25,05/13/2021 10:59 AM,22.55%,0.67,156.9,35.38
26,05/13/2021 11:14 AM,22.51%,0.67,160.5,36.13
27,05/13/2021 11:29 AM,22.39%,0.67,164.7,36.88
28,05/13/2021 11:45 AM,22.15%,0.67,170.1,37.68
29,05/13/2021 11:59 AM,22.01%,0.67,175.2,38.56
30,05/13/2021 12:14 PM,21.85%,0.67,181.1,39.56
31,05/13/2021 12:29 PM,21.66%,0.67,187.2,40.56
32,05/13/2021 12:44 PM,21.48%,0.67,193.5,41.56
33,05/13/2021 12:59 PM,21.31%,0.67,199.7,42.56
34,05/13/2021 1:14 PM,21.15%,0.67,206.0,43.56
35,05/13/2021 1:29 PM,20.97%,0.67,212.8,44.63
36,05/13/2021 1:44 PM,21.11%,0.67,216.1,45.63
37,05/13/2021 1:59 PM,21.26%,0.67,219.3,46.63
38,05/13/2021 2:14 PM,21.33%,0.67,222.9,47.56
39,05/13/2021 2:29 PM,21.40%,0.67,226.9,48.56
40,05/13/2021 2:44 PM,21.48%,0.67,230.7,49.56
41,05/13/2021 3:00 PM,21.57%,0.67,235.0,50.7
42,05/13/2021 3:14 PM,21.67%,0.67,238.3,51.63
43,05/13/2021 3:31 PM,21.78%,0.67,242.3,52.76
44,05/13/2021 3:44 PM,18.59%,0.67,238.5,44.33
45,05/13/2021 3:59 PM,18.39%,0.67,241.0,44.33
46,05/13/2021 4:14 PM,18.18%,0.67,243.9,44.33
47,05/13/2021 4:29 PM,17.99%,0.67,246.4,44.33
48,05/13/2021 4:44 PM,19.26%,0.92,248.7,47.9
49,05/13/2021 4:58 PM,19.10%,0.92,250.8,47.9
50,05/13/2021 5:13 PM,18.93%,0.92,253.1,47.9
51,05/13/2021 5:28 PM,32.91%,3.46,255.3,84.01
52,05/13/2021 5:43 PM,32.62%,3.46,257.6,84.01
53,05/13/2021 5:59 PM,32.32%,3.46,260.0,84.01
54,05/13/2021 6:14 PM,32.04%,3.46,262.2,84.01
55,05/13/2021 6:29 PM,31.77%,3.46,264.5,84.01
56,05/13/2021 6:44 PM,31.50%,3.46,266.7,84.01
57,05/13/2021 6:58 PM,44.71%,6.01,268.8,120.19
58,05/13/2021 7:14 PM,44.32%,6.01,271.2,120.19
59,05/13/2021 7:29 PM,43.95%,6.01,273.5,120.19
60,05/13/2021 7:44 PM,43.65%,6.01,275.4,120.19
61,05/13/2021 7:59 PM,43.41%,6.01,276.9,120.19
62,05/13/2021 8:14 PM,43.28%,6.01,277.7,120.19
63,05/13/2021 8:29 PM,43.07%,6.01,279.1,120.19
64,05/13/2021 8:44 PM,42.74%,6.01,281.2,120.19
65,05/13/2021 8:59 PM,42.40%,6.01,283.5,120.19
66,05/13/2021 11:44 PM,62.64%,11.13,307.7,192.75
67,05/13/2021 11:59 PM,62.19%,11.13,310.0,192.75
