,Date,DL,Tons,Direct,Earned,EVA
0,07/07/2021 3:50 AM,100.00%,0.0,7.0,7.0,0
1,07/07/2021 4:05 AM,100.00%,0.0,7.0,7.0,0
2,07/07/2021 4:20 AM,100.00%,0.0,7.0,7.0,0
3,07/07/2021 4:35 AM,100.00%,0.0,7.0,7.0,0
4,07/07/2021 4:50 AM,96.00%,0.0,7.0,7.0,0
5,07/07/2021 5:05 AM,82.00%,0.0,9.0,7.0,0
6,07/07/2021 5:20 AM,52.00%,0.0,14.0,7.0,0
7,07/07/2021 5:35 AM,38.00%,0.0,19.0,7.0,0
8,07/07/2021 5:50 AM,29.00%,0.0,24.0,7.0,0
9,07/07/2021 6:05 AM,24.00%,0.0,29.0,7.0,0
10,07/07/2021 6:20 AM,20.00%,0.0,35.0,7.0,0
11,07/07/2021 6:35 AM,17.00%,0.0,40.0,7.0,0
12,07/07/2021 6:50 AM,15.00%,0.0,46.0,7.0,0
13,07/07/2021 7:05 AM,14.00%,0.0,51.0,7.0,0
14,07/07/2021 7:21 AM,12.00%,0.0,57.0,7.0,0
15,07/07/2021 7:35 AM,99.00%,3.85,62.0,62.0,13
16,07/07/2021 7:50 AM,10.00%,0.0,68.0,7.0,0
17,07/07/2021 8:05 AM,10.00%,0.0,73.0,7.0,0
18,07/07/2021 8:20 AM,9.00%,0.0,79.0,7.0,0
19,07/07/2021 8:35 AM,8.00%,0.0,85.0,7.0,0
20,07/07/2021 8:51 AM,8.00%,0.0,91.0,7.0,0
21,07/07/2021 9:05 AM,7.00%,0.0,96.0,7.0,0
22,07/07/2021 9:21 AM,7.00%,0.0,102.0,7.0,0
23,07/07/2021 9:35 AM,7.00%,0.0,108.0,7.0,0
24,07/07/2021 9:51 AM,6.00%,0.0,113.0,7.0,0
25,07/07/2021 10:05 AM,6.00%,0.0,119.0,7.0,0
26,07/07/2021 10:21 AM,12.00%,0.54,124.0,15.0,4
27,07/07/2021 10:37 AM,61.00%,6.67,130.0,79.0,10
28,07/07/2021 10:51 AM,59.00%,6.67,135.0,79.0,10
29,07/07/2021 11:06 AM,57.00%,6.67,139.0,79.0,10
30,07/07/2021 11:21 AM,56.00%,6.67,140.0,79.0,10
31,07/07/2021 11:37 AM,55.00%,6.67,143.0,79.0,10
32,07/07/2021 11:51 AM,54.00%,6.67,148.0,79.0,10
33,07/07/2021 12:06 PM,52.00%,6.67,154.0,79.0,10
34,07/07/2021 12:21 PM,50.00%,6.67,159.0,80.0,10
35,07/07/2021 12:36 PM,49.00%,6.67,165.0,80.0,10
36,07/07/2021 12:51 PM,47.00%,6.67,170.0,80.0,10
37,07/07/2021 1:06 PM,46.00%,6.67,176.0,80.0,10
38,07/07/2021 1:21 PM,45.00%,6.67,181.0,81.0,10
39,07/07/2021 1:37 PM,43.00%,6.67,187.0,81.0,10
40,07/07/2021 1:51 PM,55.00%,8.46,192.0,106.0,17
41,07/07/2021 2:06 PM,54.00%,8.46,197.0,106.0,17
42,07/07/2021 2:21 PM,53.00%,8.46,202.0,107.0,17
43,07/07/2021 2:36 PM,52.00%,8.46,207.0,107.0,17
44,07/07/2021 2:51 PM,50.00%,8.46,212.0,107.0,17
45,07/07/2021 3:06 PM,49.00%,8.46,218.0,107.0,17
46,07/07/2021 3:22 PM,48.00%,8.46,223.0,108.0,17
47,07/07/2021 3:36 PM,47.00%,8.46,228.0,108.0,17
48,07/07/2021 3:51 PM,59.00%,10.4,229.0,135.0,34
49,07/07/2021 4:06 PM,59.00%,10.4,230.0,135.0,34
50,07/07/2021 4:21 PM,58.00%,10.4,231.0,135.0,34
51,07/07/2021 4:36 PM,58.00%,10.4,233.0,135.0,34
52,07/07/2021 4:51 PM,58.00%,10.4,234.0,135.0,34
53,07/07/2021 5:07 PM,57.00%,10.4,236.0,135.0,34
54,07/07/2021 5:21 PM,57.00%,10.4,237.0,135.0,34
55,07/07/2021 5:36 PM,57.00%,10.4,239.0,135.0,34
56,07/07/2021 5:51 PM,56.00%,10.4,240.0,135.0,34
57,07/07/2021 6:06 PM,56.00%,10.4,242.0,135.0,34
58,07/07/2021 6:21 PM,55.00%,10.4,244.0,135.0,34
59,07/07/2021 6:36 PM,55.00%,10.4,246.0,135.0,34
60,07/07/2021 6:51 PM,55.00%,10.4,247.0,135.0,34
61,07/07/2021 7:06 PM,54.00%,10.4,249.0,135.0,34
62,07/07/2021 7:21 PM,54.00%,10.4,251.0,135.0,34
63,07/07/2021 7:36 PM,53.00%,10.4,253.0,135.0,34
