,Date,DL,Tons,Direct,Earned
0,05/07/2021 11:58 PM,57.71%,10.1,287.7,166.06
1,05/08/2021 5:27 AM,5.99%,0.0,7.2,0.43
2,05/08/2021 5:43 AM,6.08%,0.0,11.2,0.68
3,05/08/2021 5:58 AM,6.13%,0.0,15.2,0.93
4,05/08/2021 6:13 AM,6.15%,0.0,19.2,1.18
5,05/08/2021 6:28 AM,6.17%,0.0,23.2,1.43
6,05/08/2021 6:43 AM,6.14%,0.0,27.4,1.68
7,05/08/2021 6:58 AM,6.10%,0.0,31.6,1.93
8,05/08/2021 7:13 AM,6.08%,0.0,35.9,2.18
9,05/08/2021 7:28 AM,6.06%,0.0,40.1,2.43
10,05/08/2021 7:43 AM,6.04%,0.0,44.4,2.68
11,05/08/2021 7:58 AM,6.03%,0.0,48.6,2.93
12,05/08/2021 8:13 AM,5.69%,0.0,52.7,3.0
13,05/08/2021 8:28 AM,5.29%,0.0,56.7,3.0
14,05/08/2021 8:43 AM,4.94%,0.0,60.7,3.0
15,05/08/2021 8:58 AM,4.64%,0.0,64.7,3.0
16,05/08/2021 9:13 AM,4.38%,0.0,68.5,3.0
17,05/08/2021 9:28 AM,4.14%,0.0,72.5,3.0
18,05/08/2021 9:43 AM,3.92%,0.0,76.5,3.0
19,05/08/2021 9:58 AM,3.73%,0.0,80.5,3.0
20,05/08/2021 10:13 AM,3.57%,0.0,84.1,3.0
21,05/08/2021 10:28 AM,3.42%,0.0,87.6,3.0
22,05/08/2021 10:43 AM,3.28%,0.0,91.5,3.0
23,05/08/2021 10:58 AM,3.15%,0.0,95.1,3.0
24,05/08/2021 11:13 AM,43.94%,3.4,96.2,42.27
25,05/08/2021 11:28 AM,43.85%,3.4,96.4,42.27
26,05/08/2021 11:43 AM,43.57%,3.4,97.0,42.27
27,05/08/2021 11:58 AM,43.32%,3.4,97.6,42.27
28,05/08/2021 12:13 PM,43.10%,3.4,98.1,42.27
29,05/08/2021 12:28 PM,42.88%,3.4,98.6,42.27
30,05/08/2021 12:43 PM,42.66%,3.4,99.1,42.27
31,05/08/2021 12:58 PM,42.45%,3.4,99.6,42.27
32,05/08/2021 1:13 PM,42.24%,3.4,100.1,42.27
33,05/08/2021 1:28 PM,42.03%,3.4,100.6,42.27
34,05/08/2021 1:43 PM,41.82%,3.4,101.1,42.27
35,05/08/2021 1:58 PM,41.61%,3.4,101.6,42.27
36,05/08/2021 2:13 PM,41.41%,3.4,102.1,42.27
37,05/08/2021 2:28 PM,41.21%,3.4,102.6,42.27
38,05/08/2021 2:43 PM,41.01%,3.4,103.1,42.27
39,05/08/2021 2:58 PM,40.81%,3.4,103.6,42.27
40,05/08/2021 3:13 PM,40.61%,3.4,104.1,42.27
41,05/08/2021 3:28 PM,40.42%,3.4,104.6,42.27
42,05/08/2021 3:43 PM,40.23%,3.4,105.1,42.27
43,05/08/2021 3:58 PM,40.04%,3.4,105.6,42.27
44,05/08/2021 4:13 PM,39.85%,3.4,106.1,42.27
45,05/08/2021 4:28 PM,39.66%,3.4,106.6,42.27
46,05/08/2021 4:43 PM,39.48%,3.4,107.1,42.27
47,05/08/2021 4:58 PM,39.29%,3.4,107.6,42.27
48,05/08/2021 5:13 PM,39.11%,3.4,108.1,42.27
49,05/08/2021 5:28 PM,38.93%,3.4,108.6,42.27
50,05/08/2021 5:43 PM,38.75%,3.4,109.1,42.27
51,05/08/2021 5:58 PM,38.58%,3.4,109.6,42.27
52,05/08/2021 6:13 PM,38.40%,3.4,110.1,42.27
53,05/08/2021 6:28 PM,38.23%,3.4,110.6,42.27
54,05/08/2021 6:43 PM,38.05%,3.4,111.1,42.27
55,05/08/2021 6:58 PM,37.88%,3.4,111.6,42.27
56,05/08/2021 7:13 PM,37.72%,3.4,112.1,42.27
57,05/08/2021 7:28 PM,37.55%,3.4,112.6,42.27
58,05/08/2021 7:43 PM,37.38%,3.4,113.1,42.27
59,05/08/2021 7:58 PM,37.22%,3.4,113.6,42.27
60,05/08/2021 8:13 PM,37.05%,3.4,114.1,42.27
61,05/08/2021 8:28 PM,36.89%,3.4,114.6,42.27
62,05/08/2021 8:43 PM,36.73%,3.4,115.1,42.27
63,05/08/2021 8:58 PM,36.57%,3.4,115.6,42.27
64,05/08/2021 9:13 PM,36.42%,3.4,116.1,42.27
65,05/08/2021 9:28 PM,36.26%,3.4,116.6,42.27
66,05/08/2021 9:43 PM,36.10%,3.4,117.1,42.27
67,05/08/2021 9:58 PM,35.95%,3.4,117.6,42.27
68,05/08/2021 10:13 PM,35.80%,3.4,118.1,42.27
69,05/08/2021 10:28 PM,35.65%,3.4,118.6,42.27
70,05/08/2021 10:43 PM,35.50%,3.4,119.1,42.27
71,05/08/2021 10:58 PM,35.35%,3.4,119.6,42.27
72,05/08/2021 11:13 PM,35.20%,3.4,120.1,42.27
73,05/08/2021 11:28 PM,35.06%,3.4,120.6,42.27
74,05/08/2021 11:43 PM,34.91%,3.4,121.1,42.27
75,05/08/2021 11:58 PM,34.77%,3.4,121.6,42.27
