,Date,DL,Tons,Direct,Earned,EVA
0,06/17/2021 11:48 PM,124.25%,22.89,261.5,324.88,55.7
1,06/18/2021 4:02 AM,0.00%,0.0,0.0,0.0,0.0
2,06/18/2021 4:18 AM,0.00%,0.0,0.0,0.0,0.0
3,06/18/2021 4:32 AM,0.00%,0.0,0.0,0.0,0.0
4,06/18/2021 4:48 AM,0.00%,0.0,0.0,0.0,0.0
5,06/18/2021 5:02 AM,0.00%,0.0,0.5,0.0,0.0
6,06/18/2021 5:17 AM,0.00%,0.0,4.7,0.0,0.0
7,06/18/2021 5:33 AM,0.00%,0.0,9.7,0.0,0.0
8,06/18/2021 5:48 AM,0.00%,0.0,14.7,0.0,0.0
9,06/18/2021 6:03 AM,0.00%,0.0,19.7,0.0,0.0
10,06/18/2021 6:18 AM,0.00%,0.0,24.9,0.0,0.0
11,06/18/2021 6:48 AM,0.00%,0.0,35.4,0.0,0.0
12,06/18/2021 7:03 AM,0.00%,0.0,40.6,0.0,0.0
13,06/18/2021 7:18 AM,0.00%,0.0,45.4,0.0,0.0
14,06/18/2021 7:33 AM,0.00%,0.0,50.1,0.0,0.0
15,06/18/2021 7:48 AM,0.00%,0.0,54.9,0.0,0.0
16,06/18/2021 8:03 AM,0.00%,0.0,59.6,0.0,0.0
17,06/18/2021 8:18 AM,0.00%,0.0,64.4,0.0,0.0
18,06/18/2021 8:33 AM,0.00%,0.0,69.1,0.0,0.0
19,06/18/2021 8:48 AM,0.00%,0.0,73.9,0.0,0.0
20,06/18/2021 9:03 AM,0.00%,0.0,78.6,0.0,0.0
21,06/18/2021 9:18 AM,0.00%,0.0,83.6,0.0,0.0
22,06/18/2021 9:33 AM,0.00%,0.0,88.6,0.0,0.0
23,06/18/2021 9:48 AM,0.00%,0.0,93.8,0.0,0.0
24,06/18/2021 10:03 AM,0.00%,0.0,99.0,0.0,0.0
25,06/18/2021 10:19 AM,78.09%,8.73,104.0,81.23,0.0
26,06/18/2021 10:33 AM,74.68%,8.73,108.8,81.23,0.0
27,06/18/2021 10:48 AM,71.89%,8.73,113.0,81.23,0.0
28,06/18/2021 11:03 AM,69.60%,8.73,117.0,81.45,0.0
29,06/18/2021 11:18 AM,68.77%,8.73,118.5,81.45,0.0
30,06/18/2021 11:34 AM,68.07%,8.73,119.7,81.46,0.0
31,06/18/2021 11:48 AM,65.86%,8.73,124.1,81.73,0.0
32,06/18/2021 12:03 PM,63.70%,8.73,129.1,82.23,0.0
33,06/18/2021 12:19 PM,61.67%,8.73,134.2,82.73,0.0
34,06/18/2021 12:34 PM,59.71%,8.73,139.4,83.23,0.0
35,06/18/2021 12:48 PM,57.89%,8.73,144.7,83.73,0.0
36,06/18/2021 1:03 PM,56.22%,8.73,149.8,84.23,0.0
37,06/18/2021 1:19 PM,144.02%,18.47,154.8,222.94,27.5
38,06/18/2021 1:33 PM,140.19%,18.47,159.2,223.18,27.5
39,06/18/2021 1:49 PM,138.55%,18.47,161.1,223.18,27.5
40,06/18/2021 2:03 PM,137.71%,18.47,162.1,223.18,27.5
41,06/18/2021 2:18 PM,136.64%,18.47,163.3,223.18,27.5
42,06/18/2021 2:33 PM,135.62%,18.47,165.1,223.96,27.5
43,06/18/2021 2:48 PM,134.68%,18.47,166.7,224.46,27.5
44,06/18/2021 3:04 PM,133.77%,18.47,168.9,225.98,27.5
45,06/18/2021 3:18 PM,132.84%,18.47,170.7,226.73,27.5
46,06/18/2021 3:34 PM,131.86%,18.47,172.5,227.48,27.5
47,06/18/2021 3:48 PM,130.96%,18.47,174.3,228.23,27.5
48,06/18/2021 4:03 PM,130.09%,18.47,176.0,228.98,27.5
49,06/18/2021 4:18 PM,129.23%,18.47,177.8,229.73,27.5
50,06/18/2021 4:33 PM,128.39%,18.47,179.5,230.48,27.5
51,06/18/2021 4:48 PM,127.56%,18.47,181.3,231.23,27.5
52,06/18/2021 5:03 PM,126.75%,18.47,183.0,231.98,27.5
53,06/18/2021 5:19 PM,125.96%,18.47,184.8,232.73,27.5
54,06/18/2021 5:33 PM,125.18%,18.47,186.5,233.48,27.5
55,06/18/2021 5:48 PM,124.41%,18.47,188.3,234.21,27.5
56,06/18/2021 6:03 PM,123.70%,18.47,189.7,234.69,27.5
57,06/18/2021 6:18 PM,123.02%,18.47,191.0,234.93,27.5
58,06/18/2021 6:33 PM,122.38%,18.47,192.0,234.93,27.5
59,06/18/2021 6:48 PM,121.74%,18.47,193.0,234.93,27.5
60,06/18/2021 7:03 PM,121.16%,18.47,193.9,234.93,27.5
