,Date,DL,Tons,Direct,Earned
0,04/28/2021 11:57 PM,45.71%,9.43,238.5,109.0
1,04/29/2021 5:27 AM,0.00%,0.0,0.0,0.0
2,04/29/2021 5:42 AM,0.00%,0.0,0.2,0.0
3,04/29/2021 5:57 AM,0.00%,0.0,0.8,0.0
4,04/29/2021 6:12 AM,0.00%,0.0,5.0,0.0
5,04/29/2021 6:27 AM,0.00%,0.0,10.2,0.0
6,04/29/2021 6:42 AM,217.16%,2.89,15.4,33.44
7,04/29/2021 6:57 AM,161.72%,2.89,20.7,33.44
8,04/29/2021 7:12 AM,142.24%,3.16,25.7,36.53
9,04/29/2021 7:27 AM,120.07%,3.16,30.4,36.53
10,04/29/2021 7:42 AM,111.01%,3.36,35.0,38.88
11,04/29/2021 7:57 AM,100.64%,3.46,39.8,40.02
12,04/29/2021 8:12 AM,89.90%,3.46,44.5,40.02
13,04/29/2021 8:27 AM,89.03%,3.8,49.3,43.87
14,04/29/2021 8:42 AM,89.16%,4.17,54.1,48.21
15,04/29/2021 8:57 AM,148.78%,7.16,58.8,87.52
16,04/29/2021 9:12 AM,172.40%,8.83,63.6,109.6
17,04/29/2021 9:27 AM,160.41%,8.83,68.3,109.6
18,04/29/2021 9:42 AM,149.99%,8.83,73.1,109.6
19,04/29/2021 9:57 AM,140.83%,8.83,77.8,109.6
20,04/29/2021 10:12 AM,158.59%,10.51,83.0,131.68
21,04/29/2021 10:28 AM,131.81%,10.51,99.9,131.68
22,04/29/2021 10:42 AM,154.82%,13.08,106.1,164.21
23,04/29/2021 10:57 AM,144.70%,13.3,115.2,166.75
24,04/29/2021 11:12 AM,155.56%,14.98,121.4,188.83
25,04/29/2021 11:27 AM,147.85%,14.98,127.7,188.83
26,04/29/2021 11:42 AM,144.27%,15.32,133.7,192.84
27,04/29/2021 11:57 AM,142.23%,15.74,139.0,197.69
28,04/29/2021 12:13 PM,159.79%,17.83,141.0,225.29
29,04/29/2021 12:27 PM,170.15%,19.09,142.1,241.85
30,04/29/2021 12:42 PM,164.91%,19.09,146.7,241.85
31,04/29/2021 12:57 PM,158.43%,19.09,152.7,241.85
32,04/29/2021 1:13 PM,152.30%,19.09,158.8,241.85
33,04/29/2021 1:28 PM,146.75%,19.09,164.8,241.85
34,04/29/2021 1:42 PM,141.70%,19.09,170.7,241.85
35,04/29/2021 1:57 PM,137.15%,19.09,176.3,241.85
36,04/29/2021 2:12 PM,132.76%,19.09,182.2,241.85
37,04/29/2021 2:27 PM,128.40%,19.09,188.4,241.85
38,04/29/2021 2:42 PM,135.99%,21.06,194.6,264.67
39,04/29/2021 2:57 PM,132.14%,21.06,200.3,264.67
40,04/29/2021 3:12 PM,130.00%,21.34,206.0,267.86
41,04/29/2021 3:27 PM,126.47%,21.34,211.8,267.86
42,04/29/2021 3:42 PM,123.51%,21.34,216.9,267.86
43,04/29/2021 3:57 PM,120.96%,21.34,221.5,267.86
44,04/29/2021 4:12 PM,118.44%,21.34,226.2,267.86
45,04/29/2021 4:27 PM,116.09%,21.34,230.7,267.86
46,04/29/2021 4:42 PM,114.59%,21.34,233.8,267.86
47,04/29/2021 4:57 PM,113.54%,21.34,235.9,267.86
48,04/29/2021 5:13 PM,112.54%,21.34,238.0,267.86
49,04/29/2021 5:27 PM,111.61%,21.34,240.0,267.86
50,04/29/2021 5:43 PM,110.63%,21.34,242.1,267.86
51,04/29/2021 5:57 PM,109.71%,21.34,244.2,267.86
52,04/29/2021 6:12 PM,108.70%,21.34,246.4,267.86
53,04/29/2021 6:27 PM,107.72%,21.34,248.7,267.86
54,04/29/2021 6:43 PM,106.73%,21.34,251.0,267.86
55,04/29/2021 6:57 PM,105.68%,21.34,253.5,267.86
56,04/29/2021 7:12 PM,104.65%,21.34,256.0,267.86
57,04/29/2021 7:27 PM,103.64%,21.34,258.5,267.86
58,04/29/2021 7:42 PM,102.64%,21.34,261.0,267.86
59,04/29/2021 7:57 PM,101.67%,21.34,263.5,267.86
60,04/29/2021 8:12 PM,100.78%,21.34,265.8,267.86
61,04/29/2021 8:27 PM,99.93%,21.34,268.0,267.86
62,04/29/2021 8:42 PM,99.04%,21.34,270.5,267.86
63,04/29/2021 8:57 PM,98.13%,21.34,273.0,267.86
64,04/29/2021 9:12 PM,97.24%,21.34,275.5,267.86
65,04/29/2021 9:27 PM,96.37%,21.34,278.0,267.86
66,04/29/2021 9:42 PM,95.51%,21.34,280.5,267.86
67,04/29/2021 9:57 PM,94.66%,21.34,283.0,267.86
68,04/29/2021 10:12 PM,93.96%,21.34,285.1,267.86
69,04/29/2021 10:27 PM,93.30%,21.34,287.1,267.86
70,04/29/2021 10:42 PM,92.59%,21.34,289.3,267.86
71,04/29/2021 10:57 PM,91.98%,21.34,291.2,267.86
72,04/29/2021 11:12 PM,91.43%,21.34,293.0,267.86
73,04/29/2021 11:27 PM,90.78%,21.34,295.1,267.86
74,04/29/2021 11:42 PM,90.05%,21.34,297.5,267.86
75,04/29/2021 11:57 PM,89.35%,21.34,299.8,267.86
