,Date,DL,Tons,Direct,Earned
0,04/06/2021 11:58 PM,127.40%,33.74,340.5,433.82
1,04/07/2021 5:28 AM,23.98%,0.2,12.6,3.02
2,04/07/2021 5:43 AM,15.24%,0.2,19.8,3.02
3,04/07/2021 5:58 AM,11.16%,0.2,27.1,3.02
4,04/07/2021 6:13 AM,8.81%,0.2,34.3,3.02
5,04/07/2021 6:28 AM,7.27%,0.2,41.6,3.02
6,04/07/2021 6:43 AM,35.67%,1.52,49.0,17.49
7,04/07/2021 6:58 AM,67.13%,3.39,56.5,37.94
8,04/07/2021 7:13 AM,59.09%,3.39,64.2,37.94
9,04/07/2021 7:28 AM,52.72%,3.39,72.0,37.94
10,04/07/2021 7:43 AM,47.59%,3.39,79.7,37.94
11,04/07/2021 7:58 AM,43.72%,3.39,87.5,38.24
12,04/07/2021 8:13 AM,40.42%,3.39,95.2,38.49
13,04/07/2021 8:29 AM,46.40%,4.21,103.0,47.78
14,04/07/2021 8:44 AM,43.38%,4.21,110.7,48.03
15,04/07/2021 8:58 AM,40.75%,4.21,118.5,48.28
16,04/07/2021 9:13 AM,38.53%,4.21,126.2,48.63
17,04/07/2021 9:43 AM,98.24%,10.48,141.2,138.73
18,04/07/2021 9:58 AM,181.22%,19.69,149.0,269.96
19,04/07/2021 10:13 AM,172.74%,19.69,156.7,270.71
20,04/07/2021 10:28 AM,168.73%,20.17,164.3,277.18
21,04/07/2021 10:43 AM,161.86%,20.17,171.5,277.57
22,04/07/2021 10:58 AM,156.64%,20.17,177.3,277.74
23,04/07/2021 11:13 AM,154.39%,20.17,180.1,278.1
24,04/07/2021 11:28 AM,153.39%,20.17,181.6,278.6
25,04/07/2021 11:43 AM,152.09%,20.75,187.7,285.46
26,04/07/2021 11:58 AM,151.98%,21.53,195.6,297.29
27,04/07/2021 12:13 PM,146.25%,21.53,203.6,297.79
28,04/07/2021 12:28 PM,147.54%,22.8,211.6,312.23
29,04/07/2021 12:44 PM,147.56%,23.84,219.6,324.06
30,04/07/2021 1:00 PM,143.31%,23.94,227.6,326.19
31,04/07/2021 1:14 PM,143.30%,24.92,235.4,337.37
32,04/07/2021 1:29 PM,138.94%,24.92,243.2,337.87
33,04/07/2021 1:44 PM,134.72%,24.92,251.1,338.3
34,04/07/2021 2:00 PM,130.40%,24.92,259.6,338.57
35,04/07/2021 2:15 PM,126.68%,24.92,267.5,338.82
36,04/07/2021 2:29 PM,127.42%,25.92,274.7,350.01
37,04/07/2021 2:45 PM,174.56%,36.01,282.8,493.56
38,04/07/2021 2:59 PM,170.42%,36.01,289.8,493.79
39,04/07/2021 3:14 PM,167.70%,36.42,297.3,498.5
40,04/07/2021 3:29 PM,166.08%,37.09,304.8,506.12
41,04/07/2021 3:44 PM,163.28%,37.09,310.0,506.19
42,04/07/2021 3:58 PM,162.13%,37.09,312.2,506.19
43,04/07/2021 4:14 PM,161.19%,37.09,314.0,506.19
44,04/07/2021 4:30 PM,160.21%,37.09,316.0,506.19
45,04/07/2021 4:44 PM,158.74%,37.09,318.9,506.19
46,04/07/2021 4:59 PM,157.29%,37.09,322.0,506.39
47,04/07/2021 5:13 PM,156.21%,37.09,324.3,506.62
48,04/07/2021 5:28 PM,155.17%,37.09,326.7,506.87
49,04/07/2021 5:44 PM,154.28%,37.1,328.7,507.16
50,04/07/2021 6:00 PM,153.37%,37.1,330.9,507.43
51,04/07/2021 6:14 PM,152.58%,37.1,332.7,507.66
52,04/07/2021 6:29 PM,151.74%,37.1,334.7,507.91
53,04/07/2021 6:44 PM,150.92%,37.1,336.7,508.16
54,04/07/2021 6:59 PM,150.10%,37.1,338.7,508.41
55,04/07/2021 7:14 PM,149.29%,37.1,340.7,508.66
56,04/07/2021 7:28 PM,148.57%,37.1,342.5,508.91
57,04/07/2021 7:44 PM,147.89%,37.1,344.3,509.16
58,04/07/2021 7:59 PM,147.17%,37.1,346.2,509.43
59,04/07/2021 8:14 PM,146.54%,37.1,347.8,509.66
60,04/07/2021 8:29 PM,145.88%,37.1,349.5,509.91
61,04/07/2021 8:44 PM,145.23%,37.1,351.3,510.16
62,04/07/2021 8:58 PM,144.58%,37.1,353.0,510.41
63,04/07/2021 9:14 PM,143.90%,37.1,354.9,510.68
64,04/07/2021 9:29 PM,143.30%,37.1,356.5,510.91
65,04/07/2021 9:44 PM,142.67%,37.1,358.3,511.16
66,04/07/2021 9:59 PM,142.05%,37.1,360.0,511.41
67,04/07/2021 10:13 PM,141.43%,37.1,361.8,511.66
68,04/07/2021 10:29 PM,140.90%,37.1,363.2,511.68
69,04/07/2021 10:43 PM,140.77%,37.1,363.5,511.68
70,04/07/2021 10:59 PM,140.62%,37.1,363.9,511.68
71,04/07/2021 11:14 PM,140.08%,37.1,365.3,511.68
72,04/07/2021 11:28 PM,139.41%,37.1,367.0,511.68
73,04/07/2021 11:43 PM,138.75%,37.1,368.8,511.68
74,04/07/2021 11:59 PM,138.09%,37.1,370.5,511.68
