,Date,DL,Tons,Direct,Earned
0,05/11/2021 11:59 PM,54.16%,10.48,294.5,159.48
1,05/12/2021 5:29 AM,203.81%,3.05,19.5,39.68
2,05/12/2021 5:43 AM,163.85%,3.05,24.8,40.6
3,05/12/2021 5:59 AM,136.27%,3.05,30.5,41.6
4,05/12/2021 6:14 AM,117.07%,3.05,36.3,42.46
5,05/12/2021 6:28 AM,100.00%,3.05,43.2,43.21
6,05/12/2021 6:44 AM,89.34%,3.05,49.2,43.96
7,05/12/2021 6:59 AM,80.99%,3.05,55.2,44.71
8,05/12/2021 7:14 AM,84.43%,3.61,61.2,51.68
9,05/12/2021 7:29 AM,78.38%,3.63,67.2,52.68
10,05/12/2021 7:44 AM,72.98%,3.63,73.2,53.43
11,05/12/2021 7:59 AM,68.12%,3.63,79.6,54.23
12,05/12/2021 8:13 AM,64.46%,3.63,85.2,54.93
13,05/12/2021 8:29 AM,60.96%,3.63,91.3,55.68
14,05/12/2021 8:46 AM,57.24%,3.63,98.8,56.58
15,05/12/2021 8:59 AM,55.07%,3.63,103.8,57.18
16,05/12/2021 9:14 AM,52.47%,3.63,110.5,57.98
17,05/12/2021 9:29 AM,59.34%,4.36,116.3,69.03
18,05/12/2021 9:44 AM,57.10%,4.36,122.2,69.78
19,05/12/2021 9:59 AM,54.92%,4.36,128.2,70.38
20,05/12/2021 10:14 AM,53.08%,4.36,133.5,70.85
21,05/12/2021 10:29 AM,51.61%,4.38,139.2,71.85
22,05/12/2021 10:44 AM,50.64%,4.42,144.4,73.13
23,05/12/2021 10:59 AM,59.13%,5.41,148.7,87.92
24,05/12/2021 11:14 AM,57.96%,5.41,152.7,88.49
25,05/12/2021 11:29 AM,56.68%,5.41,156.7,88.8
26,05/12/2021 11:44 AM,55.96%,5.49,161.6,90.42
27,05/12/2021 11:59 AM,54.46%,5.49,167.3,91.12
28,05/12/2021 12:14 PM,53.05%,5.49,173.1,91.82
29,05/12/2021 12:29 PM,51.52%,5.49,179.8,92.62
30,05/12/2021 12:59 PM,56.26%,6.48,192.3,108.16
31,05/12/2021 1:14 PM,54.95%,6.48,198.1,108.86
32,05/12/2021 1:29 PM,53.55%,6.65,204.8,109.66
33,05/12/2021 1:45 PM,53.90%,6.97,208.9,112.57
34,05/12/2021 1:59 PM,53.29%,6.97,212.5,113.27
35,05/12/2021 2:14 PM,52.51%,6.97,217.1,114.02
36,05/12/2021 2:29 PM,51.82%,6.97,221.4,114.72
37,05/12/2021 2:44 PM,51.59%,7.03,225.6,116.39
38,05/12/2021 2:59 PM,52.99%,7.57,229.1,121.4
39,05/12/2021 3:14 PM,59.97%,8.79,232.7,139.52
40,05/12/2021 3:29 PM,59.98%,8.9,236.4,141.78
41,05/12/2021 3:44 PM,59.40%,8.9,238.9,141.93
42,05/12/2021 3:59 PM,59.29%,9.37,241.6,143.23
43,05/12/2021 4:14 PM,58.68%,9.37,244.1,143.23
44,05/12/2021 4:29 PM,58.12%,9.37,246.4,143.23
45,05/12/2021 4:44 PM,57.54%,9.37,248.9,143.23
46,05/12/2021 4:59 PM,56.93%,9.37,251.6,143.23
47,05/12/2021 5:14 PM,56.37%,9.37,254.1,143.23
48,05/12/2021 5:29 PM,56.21%,9.43,256.4,144.13
49,05/12/2021 5:44 PM,56.04%,9.5,258.9,145.11
50,05/12/2021 5:59 PM,55.51%,9.5,261.4,145.11
51,05/12/2021 6:14 PM,54.98%,9.5,263.9,145.11
52,05/12/2021 6:29 PM,54.43%,9.5,266.6,145.11
53,05/12/2021 6:44 PM,53.96%,9.5,268.9,145.11
54,05/12/2021 6:59 PM,53.46%,9.5,271.4,145.11
55,05/12/2021 7:14 PM,52.97%,9.5,273.9,145.11
56,05/12/2021 7:29 PM,53.12%,9.62,276.4,146.85
57,05/12/2021 7:44 PM,52.68%,9.62,278.8,146.85
58,05/12/2021 7:59 PM,52.41%,9.62,280.2,146.85
59,05/12/2021 8:14 PM,52.25%,9.62,281.1,146.85
60,05/12/2021 8:29 PM,51.96%,9.62,282.6,146.85
61,05/12/2021 8:44 PM,51.54%,9.62,284.9,146.85
62,05/12/2021 8:59 PM,51.09%,9.62,287.4,146.85
63,05/12/2021 9:14 PM,50.65%,9.62,289.9,146.85
64,05/12/2021 9:29 PM,50.22%,9.62,292.4,146.85
65,05/12/2021 9:44 PM,49.79%,9.62,294.9,146.85
66,05/12/2021 9:59 PM,49.73%,9.69,297.4,147.93
67,05/12/2021 10:14 PM,49.32%,9.69,299.9,147.93
68,05/12/2021 10:29 PM,48.91%,9.69,302.4,147.93
69,05/12/2021 10:44 PM,48.81%,9.69,303.1,147.93
70,05/12/2021 10:59 PM,48.77%,9.69,303.3,147.93
71,05/12/2021 11:15 PM,48.73%,9.69,303.6,147.93
72,05/12/2021 11:29 PM,52.16%,9.69,283.6,147.93
73,05/12/2021 11:44 PM,52.16%,9.69,283.6,147.93
74,05/12/2021 11:59 PM,52.16%,9.69,283.6,147.93
