,Date,DL,Tons,Direct,Earned
0,04/13/2021 11:58 PM,79.93%,22.15,333.5,266.53
1,04/14/2021 5:28 AM,107.74%,1.24,12.6,13.55
2,04/14/2021 5:43 AM,70.12%,1.24,19.3,13.55
3,04/14/2021 5:58 AM,51.97%,1.24,26.1,13.55
4,04/14/2021 6:13 AM,41.02%,1.24,33.0,13.55
5,04/14/2021 6:28 AM,33.85%,1.24,40.0,13.55
6,04/14/2021 6:43 AM,28.90%,1.24,46.9,13.55
7,04/14/2021 6:58 AM,25.15%,1.24,53.9,13.55
8,04/14/2021 7:13 AM,22.17%,1.24,61.1,13.55
9,04/14/2021 7:28 AM,19.82%,1.24,68.4,13.55
10,04/14/2021 7:44 AM,17.92%,1.24,75.6,13.55
11,04/14/2021 7:58 AM,16.35%,1.24,82.9,13.55
12,04/14/2021 9:09 AM,93.95%,9.96,117.1,110.03
13,04/14/2021 10:13 AM,74.11%,9.96,148.5,110.03
14,04/14/2021 10:28 AM,71.89%,10.1,156.0,112.12
15,04/14/2021 10:43 AM,68.84%,10.1,162.9,112.12
16,04/14/2021 10:58 AM,76.99%,11.72,168.7,129.86
17,04/14/2021 11:13 AM,89.92%,13.89,170.8,153.62
18,04/14/2021 11:28 AM,89.11%,13.89,172.4,153.62
19,04/14/2021 11:43 AM,86.30%,13.89,178.0,153.62
20,04/14/2021 11:58 AM,83.03%,13.89,185.0,153.62
21,04/14/2021 12:13 PM,79.95%,13.89,192.1,153.62
22,04/14/2021 12:29 PM,77.04%,13.89,199.4,153.62
23,04/14/2021 12:44 PM,87.25%,16.33,207.1,180.7
24,04/14/2021 12:58 PM,84.53%,16.34,213.9,180.78
25,04/14/2021 1:13 PM,82.03%,16.37,221.0,181.25
26,04/14/2021 1:28 PM,80.18%,16.49,228.2,182.97
27,04/14/2021 1:43 PM,77.71%,16.49,235.5,182.97
28,04/14/2021 1:58 PM,75.39%,16.49,242.7,182.97
29,04/14/2021 2:13 PM,73.20%,16.49,250.0,182.97
30,04/14/2021 2:28 PM,71.19%,16.49,257.0,182.97
31,04/14/2021 2:44 PM,69.25%,16.49,264.2,182.97
32,04/14/2021 2:58 PM,67.40%,16.49,271.5,182.97
33,04/14/2021 3:13 PM,65.71%,16.49,278.5,182.97
34,04/14/2021 3:28 PM,63.61%,16.49,287.7,182.97
35,04/14/2021 3:43 PM,62.67%,16.49,292.0,182.97
36,04/14/2021 3:58 PM,62.11%,16.49,294.6,182.97
37,04/14/2021 4:13 PM,61.64%,16.49,296.8,182.97
38,04/14/2021 4:28 PM,61.17%,16.49,299.1,182.97
39,04/14/2021 4:43 PM,60.69%,16.49,301.5,182.97
40,04/14/2021 4:58 PM,62.64%,16.49,292.1,182.97
41,04/14/2021 5:13 PM,62.17%,16.49,294.3,182.97
42,04/14/2021 5:28 PM,61.69%,16.49,296.6,182.97
43,04/14/2021 5:43 PM,61.27%,16.49,298.6,182.97
44,04/14/2021 5:58 PM,60.86%,16.49,300.6,182.97
45,04/14/2021 6:13 PM,60.46%,16.49,302.6,182.97
46,04/14/2021 6:28 PM,60.06%,16.49,304.6,182.97
47,04/14/2021 6:43 PM,59.70%,16.49,306.5,182.97
48,04/14/2021 6:58 PM,59.33%,16.49,308.4,182.97
49,04/14/2021 7:13 PM,58.95%,16.49,310.4,182.97
50,04/14/2021 7:28 PM,58.57%,16.49,312.4,182.97
51,04/14/2021 7:43 PM,58.20%,16.49,314.4,182.97
52,04/14/2021 7:58 PM,57.83%,16.49,316.4,182.97
53,04/14/2021 8:13 PM,57.47%,16.49,318.4,182.97
54,04/14/2021 8:28 PM,73.31%,21.22,320.4,234.89
55,04/14/2021 8:43 PM,72.86%,21.22,322.4,234.89
56,04/14/2021 8:58 PM,76.70%,22.49,324.4,248.81
57,04/14/2021 9:13 PM,76.23%,22.49,326.4,248.81
58,04/14/2021 9:28 PM,75.77%,22.49,328.4,248.81
59,04/14/2021 9:43 PM,75.35%,22.49,330.2,248.81
60,04/14/2021 9:58 PM,74.95%,22.49,332.0,248.81
61,04/14/2021 10:13 PM,74.56%,22.49,333.7,248.81
62,04/14/2021 10:28 PM,74.21%,22.49,335.3,248.81
63,04/14/2021 10:43 PM,73.96%,22.49,336.4,248.81
64,04/14/2021 10:58 PM,73.71%,22.49,337.6,248.81
65,04/14/2021 11:13 PM,73.31%,22.49,339.4,248.81
66,04/14/2021 11:28 PM,72.88%,22.49,341.4,248.81
67,04/14/2021 11:43 PM,72.46%,22.49,343.4,248.81
68,04/14/2021 11:58 PM,72.04%,22.49,345.4,248.81
