,Date,DL,Tons,Direct,Earned,EVA
0,06/15/2021 11:49 PM,76.67%,17.69,342.0,262.16,0.2
1,06/16/2021 4:35 AM,0.00%,0.0,4.6,0.0,0.0
2,06/16/2021 4:48 AM,0.00%,0.0,6.4,0.0,0.0
3,06/16/2021 5:03 AM,0.00%,0.0,10.1,0.0,0.0
4,06/16/2021 5:18 AM,0.00%,0.0,15.4,0.0,0.0
5,06/16/2021 5:33 AM,0.00%,0.0,20.7,0.0,0.0
6,06/16/2021 5:48 AM,0.00%,0.0,26.5,0.0,0.0
7,06/16/2021 6:04 AM,0.00%,0.0,31.2,0.0,0.0
8,06/16/2021 6:19 AM,0.00%,0.0,37.0,0.0,0.0
9,06/16/2021 6:34 AM,0.00%,0.0,42.7,0.0,0.0
10,06/16/2021 6:49 AM,0.00%,0.0,48.5,0.0,0.0
11,06/16/2021 7:04 AM,0.00%,0.0,54.2,0.0,0.0
12,06/16/2021 7:19 AM,0.00%,0.0,60.0,0.0,0.0
13,06/16/2021 7:34 AM,0.00%,0.0,65.7,0.0,0.0
14,06/16/2021 7:49 AM,0.00%,0.0,71.5,0.0,0.0
15,06/16/2021 8:04 AM,12.77%,0.9,77.2,9.86,0.0
16,06/16/2021 8:19 AM,11.83%,0.9,83.4,9.86,0.0
17,06/16/2021 8:34 AM,11.11%,0.9,88.7,9.86,0.0
18,06/16/2021 8:49 AM,11.99%,1.0,94.5,11.32,0.0
19,06/16/2021 9:04 AM,15.69%,1.4,100.2,15.73,0.0
20,06/16/2021 9:19 AM,22.72%,2.24,106.6,24.22,0.0
21,06/16/2021 9:34 AM,28.13%,2.92,112.5,31.66,0.0
22,06/16/2021 9:49 AM,26.83%,2.92,118.0,31.66,0.0
23,06/16/2021 10:04 AM,25.81%,2.92,122.7,31.66,0.0
24,06/16/2021 10:19 AM,24.62%,2.92,128.6,31.66,0.0
25,06/16/2021 10:49 AM,31.08%,3.97,139.1,43.23,0.0
26,06/16/2021 11:05 AM,30.15%,3.97,143.4,43.23,0.0
