CSF
Job,Fabrication Site,Type of Work,Number,Work Description,Delivery,PM,Shipped
2004.0,CSF,Buyout,28,Deck Bundles 28 - 28.7 (Deck Needs Cut @ CSF before loading),9/1/2022,Patrick K,
2004.0,CSF,Buyout,29,Deck Bundles 29.1-29.5(Deck Needs Cut @ CSF before loading),9/1/2022,Patrick K,
2032.0,CSF,Sequence,29,Tube Posts & Shims - Release #170,11/22/2021,Patrick K,
2004.0,CSF,Sequence,29,EAST BUSTLE MIDDLE - 8TH FLOOR (Area16 &17) (9.53 Tons),8/29/2022,Patrick K,
2004.0,CSF,Buyout,3,"Bundles 21, 21.1 – 21.4 (Area #4 Deck)",4/26/2022,Patrick K,
1927.0,CSF,,3,,6/3/2020,Patrick K,
2004.0,CSF,Sequence,3,,7/18/2022,Patrick K,
2032.0,CSF,Sequence,3,Underbuild - South,1/14/2021,Patrick K,
2004.0,CSF,Ticket,3.1,3B - field fix plates.   - 0.069 tons,6/2/2022,Patrick K,
2004.0,CSF,Sequence,3.1,3A REINFORCING (2nd -3rd -4th Floor ) - 7.35 tons,4/20/2022,Patrick K,
2004.0,CSF,Ticket,3.2,TPL3032 Remake  - 1.68 tons,7/18/2022,Patrick K,
2004.0,CSF,Sequence,3.2,3B REINFORCING (2nd -3rd -4th Floor ) - 95.31 tons,2/23/2022,Patrick K,
2004.0,CSF,Sequence,3.2,3B REINFORCING (2nd -3rd -4th Floor ) - Release #485 & 486 - 52 tons,2/23/2022,Patrick K,
2004.0,CSF,Buyout,30,Deck Bundles 30.1 - 30.3 (Deck Needs Cut @ CSF before loading),9/7/2022,Patrick K,
2004.0,CSF,Sequence,30,EAST BUSTLE - 10TH FLOOR-Area 18 (w/ AESS columns),9/7/2022,Patrick K,
2032.0,CSF,Sequence,30,Additional Shim Plates -T054,3/2/2022,Patrick K,
2004.0,CSF,Sequence,32.2,LOGGIAS - Level 28 (T122) - 10.15 tons,3/17/2022,Patrick K,
2004.0,CSF,Ticket,32.2,,7/25/2022,Patrick K,
1927.0,CSF,,4,,6/4/2020,Patrick K,
2032.0,CSF,Sequence,4,Underbuild - South,1/15/2021,Patrick K,
2004.0,CSF,Sequence,4,4 - Release #149,5/14/2021,Patrick K,
2004.0,CSF,Sequence,46.1,Release #219 - 3.76 tons,8/11/2021,Patrick K,
2004.0,CSF,Sequence,46.1,Release #292 - 0.85 tons,9/24/2021,Patrick K,
2004.0,CSF,Buyout,5,"Bundles 21.7, 21.8, 21.10 & 21.11 (Area #6 Deck)",5/16/2022,Patrick K,
2032.0,CSF,Ticket,5,Ticket #PK 05,9/27/2021,Patrick K,
1927.0,CSF,,5,,6/12/2020,Patrick K,
2032.0,CSF,Sequence,5,Underbuild - South,1/25/2021,Patrick K,
2004.0,CSF,Buyout,6,Bundles 21.12 – 21.14 (Area #7 Deck),5/16/2022,Patrick K,
1927.0,CSF,,6,,6/15/2020,Patrick K,
2032.0,CSF,Ticket,6,Ticket PK #06,9/28/2021,Patrick K,
