CSM
Job,Fabrication Site,Type of Work,Number,Work Description,Delivery,PM,Shipped,GoogleSheetRowNumber,GoogleSheetLink
2218,CSM,Sequence,19,RAW WAREHOUSE (RAW-4)-T050 T051 T052 T053,11/3/2022,Joel H,Lot Put On Hold By PM,4518,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4518
2218,CSM,Sequence,2,EXTRACTOR PIT (EP-2)-T002 T009 T018 T019,,Joel H,Lot Put On Hold By PM,4494,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4494
2218,CSM,Sequence,20,RAW WAREHOUSE (RAW-5),11/4/2022,Joel H,Lot Put On Hold By PM,4519,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4519
2218,CSM,Sequence,21,OVEN (OVEN-1),12/3/2022,Joel H,,4520,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4520
2218,CSM,Sequence,22,OVEN (OVEN-2) (MATERIAL NOT ON HOLD),12/4/2022,Joel H,,4521,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4521
2218,CSM,Sequence,22,OVEN (OVEN-2) (MATERIAL ON HOLD),12/4/2022,Joel H,Lot Put On Hold By PM,4522,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4522
2218,CSM,Sequence,23,OVEN (OVEN-3),12/5/2022,Joel H,Lot Put On Hold By PM,4523,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4523
2218,CSM,Sequence,24,CONVERTING,11/7/2022,Joel H,Cancelled by GC,4524,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4524
2218,CSM,Sequence,25,CONVERTING,11/8/2022,Joel H,Cancelled by GC,4525,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4525
2218,CSM,Sequence,27,CONVERTING,11/10/2022,Joel H,Cancelled by GC,4527,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4527
2218,CSM,Sequence,28,OFFICE-3,1/7/2023,Joel H,Cancelled by GC,4528,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4528
2218,CSM,Sequence,29,OFFICE-4,1/9/2023,Joel H,Cancelled by GC,4529,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4529
