CSM
Job,Fabrication Site,Type of Work,Number,Work Description,Delivery,PM,Shipped,GoogleSheetRowNumber,GoogleSheetLink
2009,CSM,Ticket,23,Shop Error-Replacement Beam ,9/14/2021,Darryl,,1435,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1435
2009,CSM,Sequence,24,Tower,7/28/2021,Darryl,,1285,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1285
2009,CSM,Ticket,24,Missing Material On Site ,9/14/2021,Darryl,,1436,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1436
2009,CSM,Sequence,25,,7/6/2021,Darryl,,1287,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1287
2009,CSM,Ticket,25,Missing Connection Material ,9/14/2021,Darryl,,1437,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1437
2009,CSM,Sequence,27,,7/12/2021,Darryl,,1292,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1292
2009,CSM,Sequence,28,Tower,8/6/2021,Darryl,,1293,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1293
2009,CSM,Sequence,29,,7/26/2021,Darryl,,1295,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1295
2009,CSM,Ticket,3,,3/22/2021,Darryl,,1418,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1418
2009,CSM,Sequence,3,PH-2009-299,6/28/2021,Darryl,,1241,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1241
2009,CSM,Sequence,3.1,PH-2009-457,8/6/2021,Darryl,,1242,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1242
2009,CSM,Sequence,30,Tower,8/9/2021,Darryl,,1296,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1296
2009,CSM,Ticket,30,Missing material on site ,10/11/2021,Darryl,,1442,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1442
2009,CSM,Ticket,31,6 Missing Beams On Site ,10/11/2021,Darryl,,1443,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1443
2009,CSM,Sequence,31,Tower,8/2/2021,Darryl,,1298,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1298
2009,CSM,Sequence,31.2,PH-2009-597: Added Per FW - Perimeter Beam Kicker Detail,4/4/2022,Darryl,,1301,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1301
2009,CSM,Sequence,31.2,PH-2009-546: Added Steel per RFI 534 Response,10/18/2021,Darryl,,1300,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1300
2009,CSM,Sequence,32,Tower,8/11/2021,Darryl,,1302,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1302
2009,CSM,Sequence,33,Tower,8/16/2021,Darryl,,1306,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1306
2009,CSM,Sequence,34,PH-2009-505: Lintel Angles,8/30/2021,Darryl,,1308,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1308
2009,CSM,Sequence,34.3,Added Per RFI 734 Response,3/18/2022,Darryl,,1312,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1312
2009,CSM,Sequence,34.3,PH-2009-546: Added Steel per RFI 534 Response,10/18/2021,Darryl,,1311,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1311
2009,CSM,Ticket,36,Missing Channel On Site ,12/23/2021,Darryl,,1449,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1449
2009,CSM,Sequence,36.2,Added Per RFI 734 Response,3/18/2022,Darryl,,1315,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1315
