CSM
Job,Fabrication Site,Type of Work,Number,Work Description,Delivery,PM,Shipped,Dwgs Needed in Shop,GoogleSheetRowNumber,GoogleSheetLink
2217,CSM,Item,14.3,Hoist beam,,John S,,11/11/1899,4383,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4383
2217,CSM,Item,14.4,Divider beam,,John S,,11/11/1899,4384,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4384
2217,CSM,Item,14.5,Sill angle,,John S,,11/11/1899,4385,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4385
2217,CSM,Item,14.6,Intermediate rail support,,John S,,11/11/1899,4386,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4386
2217,CSM,Item,15,PE-5 & PE- 6 Elevator  components,,John S,,11/11/1899,4387,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4387
2217,CSM,Item,15.1,Sump pit cover and frame,,John S,,11/11/1899,4388,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4388
2217,CSM,Item,15.2,Pit ladder,,John S,,11/11/1899,4389,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4389
2217,CSM,Item,15.3,Hoist beam,,John S,,11/11/1899,4390,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4390
2217,CSM,Item,15.4,Divider beam,,John S,,11/11/1899,4391,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4391
2217,CSM,Item,15.5,Sill angle,,John S,,11/11/1899,4392,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4392
2217,CSM,Item,15.6,Intermediate rail support,,John S,,11/11/1899,4393,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4393
2217,CSM,Item,16, FSAE-1 & FSAE-2 Elevator components,,John S,,11/11/1899,4394,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4394
2217,CSM,Item,16.1,Sump pit cover and frame,,John S,,11/11/1899,4395,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4395
2217,CSM,Item,16.2,Pit ladder,,John S,,11/11/1899,4396,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4396
2217,CSM,Item,16.3,Hoist beam,,John S,,11/11/1899,4397,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4397
2217,CSM,Item,16.4,Divider beam,,John S,,11/11/1899,4398,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4398
2217,CSM,Item,16.5,Sill angle,,John S,,11/11/1899,4399,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4399
2217,CSM,Item,16.6,Intermediate rail support,,John S,,11/11/1899,4400,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4400
2217,CSM,Item,17,  SE-3 Elevator components,,John S,,11/11/1899,4401,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4401
