FED
Job,Fabrication Site,Type of Work,Number,Work Description,Delivery,PM,Shipped
2004.0,FED,Sequence,7,Release #216,8/2/2021,Patrick K,
2031.0,FED,Sequence,7,,5/12/2021,Patrick K,
2004.0,FED,Sequence,7.1,TRANSFER GROUP 1 - 10.89 tons,8/7/2021,Patrick K,
2031.0,FED,Sequence,7.1,PH-2031-078,8/23/2021,Patrick K,
2004.0,FED,Ticket,8,,10/6/2021,Patrick K,
2031.0,FED,Sequence,8,,5/17/2021,Patrick K,
2004.0,FED,Sequence,8,TRANSFER GROUP 2,3/15/2022,Patrick K,
2004.0,FED,Sequence,9,,6/1/2022,Patrick K,
2031.0,FED,Sequence,9,,5/19/2021,Patrick K,
2004.0,FED,Ticket,9,Release #692 - Seq 20 Shims,4/4/2022,Patrick K,
