FED
Job,Fabrication Site,Type of Work,Number,Work Description,Delivery,PM,Shipped
2022.0,FED,,PH-2022-087,,4/6/2021,Mike D,
2022.0,FED,,PH-2022-089 / Sequence # 1,,6/1/2021,Mike D,
2022.0,FED,,PH-2022-091 / Sequence # 1,,6/1/2021,Mike D,
2022.0,FED,,PH-2022-093 / Sequence # 1,,6/17/2021,Mike D,
2022.0,FED,,PH-2022-094 / Sequence # 1,,6/8/2021,Mike D,
2022.0,FED,,Shop ticket 010521-2022-FED,,1/11/2021,Mike D,
2022.0,FED,,Shop Work Ticket 051321-2022,,6/1/2021,Mike D,
2022.0,FED,,Shop work ticket 061421-2022,,6/17/2021,Mike D,
2022.0,FED,,Shop work ticket 061521-2022,,6/17/2021,Mike D,
2120.0,FED,Sequence,1.6.1,LS-09 Mock up / LL Standpipe & Access Gate (1-AS1006),3/25/2022,Mike D,
