,Date,Tons,Earned,Actual,Efficiency
0,09/01/2021 5:33 AM,0.0,0.0,0.29,0.00%
1,09/01/2021 5:48 AM,0.0,0.0,0.81,0.00%
2,09/01/2021 6:03 AM,0.0,0.0,3.8,0.00%
3,09/01/2021 6:18 AM,0.0,0.0,11.3,0.00%
4,09/01/2021 6:32 AM,0.0,0.0,19.19,0.00%
5,09/01/2021 6:48 AM,0.0,0.0,27.19,0.00%
6,09/01/2021 7:03 AM,0.0,0.0,35.19,0.00%
7,09/01/2021 7:18 AM,0.0,0.0,43.18,0.00%
8,09/01/2021 7:33 AM,0.53,5.62,50.94,11.04%
9,09/01/2021 7:48 AM,1.61,16.99,58.69,28.95%
10,09/01/2021 8:04 AM,1.61,16.99,66.44,25.57%
11,09/01/2021 8:18 AM,1.61,16.99,73.98,22.97%
12,09/01/2021 8:33 AM,1.61,16.99,81.48,20.85%
13,09/01/2021 8:48 AM,1.61,16.99,88.03,19.30%
14,09/01/2021 9:03 AM,2.78,31.33,94.28,33.23%
15,09/01/2021 9:18 AM,2.78,31.33,101.78,30.79%
16,09/01/2021 9:33 AM,2.78,31.33,118.97,26.34%
17,09/01/2021 9:48 AM,2.78,31.33,125.79,24.91%
18,09/01/2021 10:03 AM,2.78,31.33,132.79,23.60%
19,09/01/2021 10:18 AM,2.78,31.33,140.01,22.38%
20,09/01/2021 10:33 AM,3.68,41.19,147.26,27.97%
21,09/01/2021 10:48 AM,3.87,43.41,154.51,28.10%
22,09/01/2021 11:03 AM,3.87,43.41,161.76,26.84%
23,09/01/2021 11:18 AM,5.15,58.05,169.32,34.28%
24,09/01/2021 11:33 AM,5.26,58.05,175.73,33.03%
25,09/01/2021 11:48 AM,5.26,58.05,182.49,31.81%
26,09/01/2021 12:03 PM,5.26,58.05,189.01,30.71%
27,09/01/2021 12:19 PM,5.26,58.05,189.51,30.63%
28,09/01/2021 12:33 PM,5.26,58.05,190.22,30.51%
29,09/01/2021 12:48 PM,5.26,58.05,196.99,29.47%
30,09/01/2021 1:03 PM,7.88,85.63,203.74,42.03%
31,09/01/2021 1:18 PM,7.88,85.63,210.49,40.68%
32,09/01/2021 1:33 PM,7.88,85.63,217.23,39.42%
33,09/01/2021 1:48 PM,7.88,85.63,223.98,38.23%
34,09/01/2021 2:03 PM,7.88,85.63,230.73,37.11%
35,09/01/2021 2:19 PM,7.88,85.63,237.48,36.06%
36,09/01/2021 2:33 PM,7.88,85.63,244.19,35.07%
37,09/01/2021 2:48 PM,7.88,85.63,250.17,34.23%
38,09/01/2021 3:03 PM,7.88,85.63,256.44,33.39%
39,09/01/2021 3:18 PM,8.55,92.72,262.69,35.30%
40,09/01/2021 3:33 PM,9.41,102.19,269.11,37.97%
41,09/01/2021 3:48 PM,9.41,102.19,275.86,37.04%
42,09/01/2021 4:04 PM,9.41,102.19,282.61,36.16%
43,09/01/2021 4:18 PM,9.41,102.19,289.38,35.31%
44,09/01/2021 4:33 PM,9.41,102.19,296.11,34.51%
45,09/01/2021 4:48 PM,9.41,102.19,298.67,34.21%
46,09/01/2021 5:03 PM,9.41,102.19,300.47,34.01%
47,09/01/2021 5:18 PM,9.41,102.19,303.05,33.72%
48,09/01/2021 5:33 PM,9.41,102.19,305.8,33.42%
49,09/01/2021 5:48 PM,9.41,102.19,308.53,33.12%
50,09/01/2021 6:03 PM,9.41,102.19,311.03,32.85%
51,09/01/2021 6:18 PM,9.41,102.19,313.53,32.59%
52,09/01/2021 6:48 PM,9.41,102.19,318.27,32.11%
53,09/01/2021 7:03 PM,9.41,102.19,320.52,31.88%
54,09/01/2021 7:18 PM,9.41,102.19,322.77,31.66%
55,09/01/2021 7:34 PM,9.41,102.19,325.02,31.44%
56,09/01/2021 7:48 PM,9.41,102.19,327.37,31.21%
57,09/01/2021 8:03 PM,9.41,102.19,329.85,30.98%
58,09/01/2021 8:18 PM,9.41,102.19,332.1,30.77%
59,09/01/2021 8:33 PM,9.41,102.19,334.08,30.59%
60,09/01/2021 8:48 PM,9.41,102.19,336.06,30.41%
61,09/01/2021 9:03 PM,9.41,102.19,337.81,30.25%
62,09/01/2021 9:18 PM,9.41,102.19,339.58,30.09%
63,09/01/2021 9:32 PM,9.41,102.19,341.56,29.92%
64,09/01/2021 9:48 PM,9.41,102.19,343.31,29.77%
65,09/01/2021 10:03 PM,9.41,102.19,345.08,29.61%
66,09/01/2021 10:18 PM,9.41,102.19,347.04,29.45%
67,09/01/2021 10:33 PM,9.41,102.19,348.29,29.34%
68,09/01/2021 10:48 PM,9.41,102.19,349.56,29.23%
69,09/01/2021 11:03 PM,9.41,102.19,351.31,29.09%
70,09/01/2021 11:18 PM,9.41,102.19,353.08,28.94%
71,09/01/2021 11:33 PM,9.41,102.19,355.08,28.78%
72,09/01/2021 11:48 PM,9.41,102.19,357.08,28.62%
