,Date,Tons,Earned,Actual,Efficiency
0,09/28/2021 5:48 AM,3.09,44.43,14.45,307.48%
1,09/28/2021 6:03 AM,4.87,69.35,19.62,353.45%
2,09/28/2021 6:18 AM,5.2,75.69,25.31,299.05%
3,09/28/2021 6:33 AM,5.2,75.69,31.06,243.69%
4,09/28/2021 6:48 AM,8.22,112.74,36.71,307.12%
5,09/28/2021 7:05 AM,8.7,129.04,42.21,305.71%
6,09/28/2021 7:18 AM,12.73,177.0,47.71,370.99%
7,09/28/2021 7:34 AM,12.73,177.0,53.3,332.08%
8,09/28/2021 7:48 AM,12.73,177.0,59.07,299.64%
9,09/28/2021 8:03 AM,12.73,177.0,65.04,272.14%
10,09/28/2021 8:18 AM,12.73,177.0,71.01,249.26%
11,09/28/2021 8:33 AM,12.73,177.0,76.76,230.58%
12,09/28/2021 8:48 AM,12.73,177.0,82.51,214.52%
13,09/28/2021 9:03 AM,12.73,177.0,88.28,200.49%
14,09/28/2021 9:18 AM,12.87,180.75,94.28,191.72%
15,09/28/2021 9:33 AM,16.84,236.22,100.28,235.56%
16,09/28/2021 9:48 AM,16.84,236.22,106.28,222.26%
17,09/28/2021 10:03 AM,16.84,236.22,116.37,202.99%
18,09/28/2021 10:18 AM,16.84,236.22,121.85,193.86%
19,09/28/2021 10:33 AM,22.19,301.88,127.12,237.48%
20,09/28/2021 10:48 AM,22.24,303.4,132.65,228.72%
21,09/28/2021 11:03 AM,22.24,303.4,138.11,219.68%
22,09/28/2021 11:18 AM,23.04,314.53,139.87,224.88%
23,09/28/2021 11:33 AM,23.04,314.53,141.93,221.61%
24,09/28/2021 11:48 AM,23.04,314.53,147.94,212.61%
25,09/28/2021 12:03 PM,23.04,314.53,154.19,203.99%
26,09/28/2021 12:18 PM,23.04,314.53,160.44,196.04%
27,09/28/2021 12:33 PM,23.04,314.53,166.59,188.81%
28,09/28/2021 12:48 PM,23.04,314.53,172.38,182.47%
29,09/28/2021 1:02 PM,23.09,315.82,178.13,177.30%
30,09/28/2021 1:18 PM,23.09,315.82,183.93,171.71%
31,09/28/2021 1:33 PM,23.09,315.82,189.91,166.30%
32,09/28/2021 1:48 PM,23.15,317.57,195.66,162.31%
33,09/28/2021 2:03 PM,23.23,319.67,201.43,158.70%
34,09/28/2021 2:18 PM,23.23,319.67,207.43,154.11%
35,09/28/2021 2:33 PM,23.23,319.67,213.43,149.78%
36,09/28/2021 2:48 PM,23.23,319.67,219.01,145.96%
37,09/28/2021 3:03 PM,23.23,319.67,224.3,142.52%
38,09/28/2021 3:18 PM,23.47,326.21,229.05,142.42%
39,09/28/2021 3:33 PM,23.64,330.99,234.51,141.14%
40,09/28/2021 3:48 PM,23.64,330.99,237.5,139.36%
41,09/28/2021 4:03 PM,23.83,333.62,239.19,139.48%
42,09/28/2021 4:18 PM,23.83,333.62,240.94,138.47%
43,09/28/2021 4:33 PM,23.83,333.62,243.71,136.89%
44,09/28/2021 4:47 PM,23.83,333.62,245.71,135.78%
45,09/28/2021 5:03 PM,23.83,333.62,247.71,134.68%
46,09/28/2021 5:18 PM,23.83,333.62,249.71,133.60%
47,09/28/2021 5:33 PM,23.83,333.62,251.71,132.54%
48,09/28/2021 5:48 PM,23.83,333.62,253.42,131.65%
49,09/28/2021 6:03 PM,23.83,333.62,254.92,130.87%
50,09/28/2021 6:18 PM,23.83,333.62,256.42,130.11%
51,09/28/2021 6:33 PM,23.83,333.62,257.92,129.35%
52,09/28/2021 6:48 PM,23.83,333.62,259.42,128.60%
53,09/28/2021 7:03 PM,23.83,333.62,260.92,127.86%
54,09/28/2021 7:17 PM,23.83,333.62,262.42,127.13%
55,09/28/2021 7:33 PM,23.83,333.62,263.92,126.41%
56,09/28/2021 7:48 PM,23.83,333.62,265.42,125.70%
57,09/28/2021 8:03 PM,23.83,333.62,266.92,124.99%
58,09/28/2021 8:18 PM,23.83,333.62,268.42,124.29%
59,09/28/2021 8:33 PM,23.83,333.62,269.92,123.60%
60,09/28/2021 8:48 PM,23.83,333.62,271.42,122.92%
61,09/28/2021 9:04 PM,23.83,333.62,272.99,122.21%
62,09/28/2021 9:18 PM,23.829465,333.6217088,274.4,1.215822554
63,09/28/2021 9:33 PM,23.829465,333.6217088,275.61,1.210484775
64,09/28/2021 9:48 PM,23.829465,333.6217088,276.38,1.207112341
65,09/28/2021 10:03 PM,23.829465,333.6217088,277.38,1.202760505
66,09/28/2021 10:18 PM,23.829465,333.6217088,278.38,1.198439934
67,09/28/2021 10:33 PM,23.829465,333.6217088,279.42,1.193979346
68,09/28/2021 10:48 PM,23.83,333.62,280.92,118.76%
69,09/28/2021 11:03 PM,23.83,333.62,282.42,118.13%
70,09/28/2021 11:18 PM,23.83,333.62,283.92,117.51%
71,09/28/2021 11:33 PM,23.83,333.62,285.42,116.89%
72,09/28/2021 11:48 PM,23.83,333.62,286.92,116.28%
