,Date,Tons,Earned,Actual,Efficiency
0,08/25/2021 5:33 AM,0.0,0.0,0.0,
1,08/25/2021 5:48 AM,0.0,0.0,0.18,0.00%
2,08/25/2021 6:03 AM,0.0,0.0,2.12,0.00%
3,08/25/2021 6:18 AM,0.0,0.0,9.05,0.00%
4,08/25/2021 6:33 AM,0.0,0.0,17.58,0.00%
5,08/25/2021 6:48 AM,0.1,1.21,25.08,4.83%
6,08/25/2021 7:03 AM,0.1,1.21,32.58,3.72%
7,08/25/2021 7:18 AM,0.1,1.21,40.08,3.02%
8,08/25/2021 7:33 AM,0.1,1.21,47.58,2.54%
9,08/25/2021 7:48 AM,0.1,1.21,55.08,2.20%
10,08/25/2021 8:03 AM,0.51,6.25,62.58,9.99%
11,08/25/2021 8:18 AM,1.36,16.7,70.06,23.83%
12,08/25/2021 8:33 AM,1.36,16.7,77.31,21.60%
13,08/25/2021 8:48 AM,1.36,16.7,84.81,19.69%
14,08/25/2021 9:03 AM,1.36,16.7,92.31,18.09%
15,08/25/2021 9:18 AM,1.36,16.7,99.81,16.73%
16,08/25/2021 9:33 AM,1.36,16.7,107.28,15.56%
17,08/25/2021 9:48 AM,1.36,16.7,113.85,14.66%
18,08/25/2021 10:04 AM,1.36,16.7,120.85,13.82%
19,08/25/2021 10:19 AM,1.36,16.7,127.85,13.06%
20,08/25/2021 10:33 AM,1.36,16.7,135.18,12.35%
21,08/25/2021 10:49 AM,1.36,16.7,142.72,11.70%
22,08/25/2021 11:18 AM,1.36,16.7,155.58,10.73%
23,08/25/2021 11:33 AM,1.36,16.7,162.35,10.28%
24,08/25/2021 11:48 AM,1.36,16.7,169.18,9.87%
25,08/25/2021 12:03 PM,1.96,24.04,174.5,13.78%
26,08/25/2021 12:18 PM,1.96,24.04,174.92,13.74%
27,08/25/2021 12:33 PM,1.96,24.04,176.85,13.59%
28,08/25/2021 12:48 PM,2.6,31.98,183.85,17.40%
29,08/25/2021 1:03 PM,4.46,54.81,191.04,28.69%
30,08/25/2021 1:18 PM,4.46,54.81,198.29,27.64%
31,08/25/2021 1:39 PM,4.46,54.81,208.44,26.29%
32,08/25/2021 1:48 PM,4.46,54.81,220.06,24.91%
33,08/25/2021 2:04 PM,4.58,56.24,227.56,24.71%
34,08/25/2021 2:18 PM,4.81,59.05,235.06,25.12%
35,08/25/2021 2:35 PM,5.87,72.1,243.44,29.62%
36,08/25/2021 2:48 PM,7.21,88.56,249.79,35.45%
37,08/25/2021 3:03 PM,7.64,93.9,257.03,36.53%
38,08/25/2021 3:18 PM,7.64,93.9,264.28,35.53%
39,08/25/2021 3:33 PM,8.84,108.58,271.53,39.99%
40,08/25/2021 3:48 PM,9.33,114.67,278.37,41.19%
41,08/25/2021 4:03 PM,9.33,114.67,285.12,40.22%
42,08/25/2021 4:18 PM,10.19,125.24,291.82,42.92%
43,08/25/2021 4:33 PM,10.19,125.24,298.35,41.98%
44,08/25/2021 4:48 PM,10.19,125.24,297.97,42.03%
45,08/25/2021 5:04 PM,10.19,125.24,298.84,41.91%
46,08/25/2021 5:18 PM,10.19,125.24,300.75,41.64%
47,08/25/2021 5:33 PM,10.19,125.24,302.75,41.37%
48,08/25/2021 5:48 PM,10.19,125.24,304.5,41.13%
49,08/25/2021 6:03 PM,10.19,125.24,306.25,40.90%
50,08/25/2021 6:18 PM,10.19,125.24,308.0,40.66%
51,08/25/2021 6:33 PM,10.19,125.24,309.75,40.43%
52,08/25/2021 6:48 PM,10.19,125.24,311.5,40.21%
53,08/25/2021 7:04 PM,10.19,125.24,313.33,39.97%
54,08/25/2021 7:18 PM,10.19,125.24,315.0,39.76%
55,08/25/2021 7:33 PM,10.19,125.24,316.75,39.54%
56,08/25/2021 7:48 PM,10.19,125.24,318.5,39.32%
57,08/25/2021 8:03 PM,10.19,125.24,320.25,39.11%
58,08/25/2021 8:18 PM,10.19,125.24,322.0,38.89%
59,08/25/2021 8:33 PM,10.19,125.24,323.75,38.68%
60,08/25/2021 8:48 PM,10.19,125.24,325.5,38.48%
61,08/25/2021 9:03 PM,10.19,125.24,327.25,38.27%
62,08/25/2021 9:18 PM,10.19,125.24,329.0,38.07%
63,08/25/2021 9:33 PM,10.19,125.24,330.73,37.87%
64,08/25/2021 9:48 PM,10.19,125.24,332.23,37.70%
65,08/25/2021 10:03 PM,10.19,125.24,333.75,37.53%
66,08/25/2021 10:18 PM,10.19,125.24,335.48,37.33%
67,08/25/2021 10:34 PM,10.19,125.24,336.92,37.17%
68,08/25/2021 10:48 PM,10.19,125.24,337.69,37.09%
69,08/25/2021 11:03 PM,10.19,125.24,338.75,36.97%
70,08/25/2021 11:18 PM,10.19,125.24,340.5,36.78%
71,08/25/2021 11:33 PM,10.19,125.24,342.25,36.59%
72,08/25/2021 11:48 PM,10.19,125.24,344.0,36.41%
