,Date,Tons,Earned,Actual,Efficiency
0,10/04/2021 5:33 AM,0.0,0.0,14.13,0.00%
1,10/04/2021 5:48 AM,0.0,0.0,18.88,0.00%
2,10/04/2021 6:03 AM,0.0,0.0,23.62,0.00%
3,10/04/2021 6:18 AM,0.0,0.0,28.54,0.00%
4,10/04/2021 6:33 AM,0.13,2.33,33.79,6.89%
5,10/04/2021 6:48 AM,0.13,2.33,39.04,5.96%
6,10/04/2021 7:03 AM,0.13,2.33,44.29,5.26%
7,10/04/2021 7:18 AM,0.13,2.33,49.54,4.70%
8,10/04/2021 7:33 AM,0.13,2.33,54.79,4.25%
9,10/04/2021 7:47 AM,0.2,3.45,60.04,5.74%
10,10/04/2021 8:17 AM,0.2,3.45,70.54,4.89%
11,10/04/2021 8:33 AM,0.2,3.45,75.78,4.55%
12,10/04/2021 8:48 AM,0.2,3.45,81.03,4.25%
13,10/04/2021 9:03 AM,0.2,3.45,86.28,4.00%
14,10/04/2021 9:18 AM,0.2,3.45,91.53,3.77%
15,10/04/2021 9:33 AM,0.2,3.45,96.93,3.56%
16,10/04/2021 9:48 AM,0.2,3.45,102.18,3.37%
17,10/04/2021 10:03 AM,0.2,3.45,107.47,3.21%
18,10/04/2021 10:18 AM,0.55,13.69,113.2,12.09%
19,10/04/2021 10:33 AM,0.55,13.69,118.7,11.53%
20,10/04/2021 10:48 AM,0.55,13.69,124.08,11.03%
21,10/04/2021 11:03 AM,0.55,13.69,127.89,10.71%
22,10/04/2021 11:18 AM,0.55,13.69,129.53,10.57%
23,10/04/2021 11:33 AM,0.55,13.69,132.95,10.30%
24,10/04/2021 11:48 AM,0.55,13.69,138.45,9.89%
25,10/04/2021 12:03 PM,1.47,35.0,143.97,24.31%
26,10/04/2021 12:18 PM,1.47,35.0,149.7,23.38%
27,10/04/2021 12:33 PM,1.5,35.71,155.21,23.01%
28,10/04/2021 12:48 PM,1.5,35.71,160.98,22.18%
29,10/04/2021 1:03 PM,1.5,35.71,166.98,21.38%
30,10/04/2021 1:18 PM,1.5,35.71,172.98,20.64%
31,10/04/2021 1:34 PM,1.5,35.71,179.32,19.91%
32,10/04/2021 1:48 PM,1.5,35.71,184.7,19.33%
33,10/04/2021 2:03 PM,1.5,35.71,189.93,18.80%
34,10/04/2021 2:18 PM,1.5,35.71,195.17,18.30%
35,10/04/2021 2:33 PM,1.5,35.71,200.4,17.82%
36,10/04/2021 2:48 PM,2.95,74.94,204.86,36.58%
37,10/04/2021 3:03 PM,2.95,74.94,209.34,35.80%
38,10/04/2021 3:18 PM,2.95,74.94,213.32,35.13%
39,10/04/2021 3:33 PM,3.58,92.59,217.35,42.60%
40,10/04/2021 3:48 PM,3.81,96.06,218.03,44.06%
41,10/04/2021 4:04 PM,3.81,96.06,210.86,45.55%
42,10/04/2021 4:18 PM,4.41,113.68,212.98,53.38%
43,10/04/2021 4:33 PM,4.41,113.68,215.23,52.82%
44,10/04/2021 4:48 PM,4.41,113.68,217.48,52.27%
45,10/04/2021 5:03 PM,4.79,124.67,219.73,56.74%
46,10/04/2021 5:18 PM,5.23,137.72,221.98,62.04%
47,10/04/2021 5:33 PM,7.56,179.93,224.23,80.24%
48,10/04/2021 5:47 PM,7.56,179.93,226.48,79.45%
49,10/04/2021 6:18 PM,7.56,179.93,230.98,77.90%
50,10/04/2021 6:33 PM,7.99,186.31,233.19,79.90%
51,10/04/2021 6:48 PM,7.99,186.31,234.94,79.30%
52,10/04/2021 7:03 PM,8.43,199.24,236.71,84.17%
53,10/04/2021 7:18 PM,8.43,199.24,238.71,83.46%
54,10/04/2021 7:33 PM,9.03,216.89,240.59,90.15%
55,10/04/2021 7:48 PM,9.03,216.89,241.36,89.86%
56,10/04/2021 8:03 PM,9.32,225.32,242.23,93.02%
57,10/04/2021 8:18 PM,9.32,225.32,239.44,94.10%
58,10/04/2021 8:33 PM,9.32,225.32,241.19,93.42%
59,10/04/2021 8:48 PM,9.32,225.32,242.94,92.75%
60,10/04/2021 9:03 PM,9.32,225.32,244.69,92.08%
61,10/04/2021 9:18 PM,9.32,225.32,246.44,91.43%
62,10/04/2021 9:33 PM,9.319,225.315505,248.19,0.9078347435
63,10/04/2021 9:49 PM,9.319,225.315505,249.94,0.9014783748
64,10/04/2021 10:03 PM,9.319,225.315505,251.69,0.8952103977
65,10/04/2021 10:18 PM,10.7835,268.29858,253.44,1.058627604
66,10/04/2021 10:33 PM,11.0835,277.10358,255.19,1.085871625
67,10/04/2021 10:48 PM,11.0835,277.10358,256.94,1.078475831
68,10/04/2021 11:03 PM,11.08,277.1,258.69,107.12%
69,10/04/2021 11:18 PM,11.08,277.1,260.44,106.40%
70,10/04/2021 11:33 PM,11.08,277.1,262.19,105.69%
71,10/04/2021 11:48 PM,11.08,277.1,263.94,104.99%
