,Date,Tons,Earned,Actual,Efficiency
0,09/02/2021 5:33 AM,0.0,0.0,19.17,0.00%
1,09/02/2021 5:48 AM,0.0,0.0,22.41,0.00%
2,09/02/2021 6:03 AM,0.0,0.0,25.66,0.00%
3,09/02/2021 6:18 AM,0.0,0.0,28.91,0.00%
4,09/02/2021 6:33 AM,0.99,15.91,32.16,49.46%
5,09/02/2021 6:48 AM,0.99,15.91,35.41,44.92%
6,09/02/2021 7:03 AM,0.99,15.91,38.65,41.15%
7,09/02/2021 7:18 AM,0.99,15.91,41.9,37.96%
8,09/02/2021 7:33 AM,0.99,15.91,45.15,35.23%
9,09/02/2021 7:48 AM,0.99,15.91,48.4,32.86%
10,09/02/2021 8:03 AM,0.99,15.91,51.65,30.80%
11,09/02/2021 8:18 AM,0.99,15.91,54.92,28.96%
12,09/02/2021 8:33 AM,0.99,15.91,58.42,27.23%
13,09/02/2021 8:48 AM,0.99,15.91,62.0,25.65%
14,09/02/2021 9:03 AM,0.99,15.91,65.75,24.19%
15,09/02/2021 9:18 AM,0.99,15.91,69.39,22.92%
16,09/02/2021 9:33 AM,2.97,47.88,72.89,65.69%
17,09/02/2021 9:48 AM,2.97,47.88,76.37,62.69%
18,09/02/2021 10:03 AM,2.97,47.88,79.79,60.01%
19,09/02/2021 10:18 AM,2.97,47.88,83.32,57.46%
20,09/02/2021 10:34 AM,2.97,47.88,87.22,54.89%
21,09/02/2021 10:48 AM,2.97,47.88,90.51,52.90%
22,09/02/2021 11:03 AM,2.97,47.88,93.35,51.29%
23,09/02/2021 11:18 AM,2.97,47.88,94.14,50.86%
24,09/02/2021 11:33 AM,2.97,47.88,95.57,50.10%
25,09/02/2021 11:48 AM,2.97,47.88,99.32,48.21%
26,09/02/2021 12:03 PM,2.97,47.88,103.07,46.45%
27,09/02/2021 12:18 PM,2.97,47.88,106.82,44.82%
28,09/02/2021 12:33 PM,4.92,79.38,110.65,71.74%
29,09/02/2021 12:48 PM,4.92,79.38,114.65,69.24%
30,09/02/2021 1:03 PM,4.92,79.38,120.35,65.96%
31,09/02/2021 1:18 PM,4.92,79.38,124.03,64.00%
32,09/02/2021 1:33 PM,4.92,79.38,127.49,62.27%
33,09/02/2021 1:48 PM,7.08,114.19,130.21,87.70%
34,09/02/2021 2:03 PM,7.08,114.19,132.45,86.21%
35,09/02/2021 2:18 PM,7.08,114.19,132.82,85.97%
36,09/02/2021 2:33 PM,7.08,114.19,135.05,84.55%
37,09/02/2021 2:48 PM,7.08,114.19,137.05,83.32%
38,09/02/2021 3:03 PM,7.08,114.19,139.05,82.12%
39,09/02/2021 3:19 PM,7.08,114.19,141.05,80.96%
40,09/02/2021 3:34 PM,7.08,114.19,142.74,80.00%
41,09/02/2021 3:48 PM,7.08,114.19,143.46,79.60%
42,09/02/2021 4:04 PM,7.08,114.19,144.46,79.05%
43,09/02/2021 4:18 PM,7.08,114.19,145.48,78.49%
44,09/02/2021 4:33 PM,7.08,114.19,146.63,77.88%
45,09/02/2021 4:48 PM,7.08,114.19,147.76,77.28%
46,09/02/2021 5:03 PM,7.08,114.19,149.01,76.63%
47,09/02/2021 5:19 PM,7.08,114.19,150.27,75.99%
48,09/02/2021 5:33 PM,7.08,114.19,151.52,75.36%
49,09/02/2021 5:48 PM,7.08,114.19,152.77,74.75%
50,09/02/2021 6:03 PM,7.08,114.19,154.22,74.04%
51,09/02/2021 6:18 PM,7.08,114.19,155.72,73.33%
52,09/02/2021 6:33 PM,7.08,114.19,157.22,72.63%
53,09/02/2021 6:48 PM,7.08,114.19,158.72,71.94%
54,09/02/2021 7:03 PM,7.08,114.19,160.2,71.28%
55,09/02/2021 7:18 PM,7.08,114.19,161.45,70.73%
56,09/02/2021 7:33 PM,7.08,114.19,162.7,70.18%
57,09/02/2021 7:48 PM,7.08,114.19,163.95,69.65%
58,09/02/2021 8:03 PM,7.08,114.19,165.2,69.12%
59,09/02/2021 8:18 PM,7.08,114.19,166.45,68.60%
60,09/02/2021 8:33 PM,7.08,114.19,167.7,68.09%
61,09/02/2021 8:48 PM,8.53,137.64,168.95,81.47%
62,09/02/2021 9:03 PM,8.528,137.64192,170.18,0.8088019744
63,09/02/2021 9:18 PM,9.274,150.69692,171.18,0.8803418624
64,09/02/2021 9:34 PM,9.274,150.69692,172.19,0.8751781172
65,09/02/2021 9:48 PM,9.274,150.69692,173.17,0.8702253277
66,09/02/2021 10:03 PM,9.274,150.69692,173.91,0.8665224541
67,09/02/2021 10:18 PM,9.274,150.69692,174.86,0.8618147089
68,09/02/2021 10:33 PM,9.27,150.7,176.12,85.56%
69,09/02/2021 10:48 PM,9.27,150.7,177.37,84.96%
70,09/02/2021 11:03 PM,10.27,166.75,178.63,93.35%
71,09/02/2021 11:18 PM,10.27,166.75,180.13,92.57%
72,09/02/2021 11:33 PM,10.27,166.75,181.61,91.82%
73,09/02/2021 11:48 PM,10.27,166.75,182.85,91.19%
