,Date,Tons,Earned,Actual,Efficiency
0,08/13/2021 6:03 AM,0.0,0.0,23.39,0.00%
1,08/13/2021 6:18 AM,0.0,0.0,29.14,0.00%
2,08/13/2021 6:33 AM,0.28,3.46,34.89,9.92%
3,08/13/2021 6:48 AM,0.95,11.62,40.64,28.60%
4,08/13/2021 7:03 AM,1.45,17.12,46.17,37.09%
5,08/13/2021 7:18 AM,1.45,17.12,51.67,33.14%
6,08/13/2021 7:33 AM,1.45,17.12,57.17,29.95%
7,08/13/2021 7:48 AM,1.45,17.12,62.67,27.32%
8,08/13/2021 8:04 AM,1.45,17.12,68.17,25.12%
9,08/13/2021 8:18 AM,1.45,17.12,73.67,23.24%
10,08/13/2021 8:33 AM,1.45,17.12,79.35,21.58%
11,08/13/2021 8:48 AM,1.45,17.12,85.35,20.06%
12,08/13/2021 9:03 AM,1.45,17.12,91.7,18.67%
13,08/13/2021 9:18 AM,1.45,17.12,97.4,17.58%
14,08/13/2021 9:33 AM,1.45,17.12,103.4,16.56%
15,08/13/2021 9:48 AM,1.45,17.12,109.39,15.65%
16,08/13/2021 10:03 AM,1.45,17.12,114.98,14.89%
17,08/13/2021 10:18 AM,1.45,17.12,120.46,14.21%
18,08/13/2021 10:33 AM,1.45,17.12,125.71,13.62%
19,08/13/2021 10:48 AM,1.45,17.12,131.19,13.05%
20,08/13/2021 11:04 AM,1.45,17.12,136.13,12.58%
21,08/13/2021 11:18 AM,1.45,17.12,137.17,12.48%
22,08/13/2021 11:33 AM,1.45,17.12,138.98,12.32%
23,08/13/2021 11:48 AM,1.45,17.12,144.73,11.83%
24,08/13/2021 12:03 PM,1.45,17.12,150.49,11.38%
25,08/13/2021 12:20 PM,1.45,17.12,156.26,10.96%
26,08/13/2021 12:33 PM,1.45,17.12,161.47,10.60%
27,08/13/2021 12:48 PM,1.45,17.12,166.97,10.25%
28,08/13/2021 1:03 PM,11.72,141.91,172.47,82.28%
29,08/13/2021 1:18 PM,13.07,158.54,177.97,89.08%
30,08/13/2021 1:33 PM,13.07,158.54,183.36,86.46%
31,08/13/2021 1:48 PM,13.07,158.54,185.69,85.38%
32,08/13/2021 2:04 PM,13.07,158.54,187.3,84.64%
33,08/13/2021 2:18 PM,13.07,158.54,188.93,83.91%
34,08/13/2021 2:33 PM,13.07,158.54,190.68,83.14%
35,08/13/2021 2:48 PM,13.07,158.54,192.43,82.39%
36,08/13/2021 3:04 PM,13.07,158.54,195.21,81.21%
37,08/13/2021 3:18 PM,13.07,158.54,197.21,80.39%
38,08/13/2021 3:33 PM,13.07,158.54,199.21,79.58%
39,08/13/2021 3:48 PM,13.07,158.54,201.21,78.79%
40,08/13/2021 4:03 PM,13.07,158.54,203.18,78.03%
41,08/13/2021 4:18 PM,13.07,158.54,204.68,77.46%
42,08/13/2021 4:33 PM,13.07,158.54,206.18,76.89%
43,08/13/2021 4:48 PM,13.07,158.54,207.68,76.34%
44,08/13/2021 5:03 PM,13.07,158.54,209.22,75.77%
45,08/13/2021 5:18 PM,13.07,158.54,210.41,75.35%
46,08/13/2021 5:33 PM,13.07,158.54,211.72,74.88%
47,08/13/2021 5:49 PM,13.07,158.54,212.91,74.46%
48,08/13/2021 6:06 PM,13.07,158.54,214.41,73.94%
49,08/13/2021 6:18 PM,13.07,158.54,215.41,73.60%
50,08/13/2021 6:33 PM,13.07,158.54,216.66,73.17%
51,08/13/2021 6:48 PM,13.07,158.54,217.91,72.75%
52,08/13/2021 7:03 PM,13.07,158.54,219.06,72.37%
53,08/13/2021 7:18 PM,13.07,158.54,219.06,72.37%
54,08/13/2021 7:33 PM,13.07,158.54,219.06,72.37%
55,08/13/2021 7:48 PM,13.07,158.54,219.06,72.37%
56,08/13/2021 8:03 PM,13.07,158.54,219.06,72.37%
57,08/13/2021 8:18 PM,13.07,158.54,219.06,72.37%
58,08/13/2021 8:33 PM,13.07,158.54,219.06,72.37%
59,08/13/2021 8:48 PM,13.07,158.54,219.06,72.37%
60,08/13/2021 9:03 PM,13.07,158.54,219.06,72.37%
61,08/13/2021 9:18 PM,13.07,158.54,219.06,72.37%
62,08/13/2021 9:33 PM,13.07135,158.5354901,219.06,0.7237080711
63,08/13/2021 9:48 PM,13.07135,158.5354901,219.06,0.7237080711
64,08/13/2021 10:03 PM,13.07135,158.5354901,219.06,0.7237080711
65,08/13/2021 10:18 PM,13.07135,158.5354901,219.06,0.7237080711
66,08/13/2021 10:33 PM,13.07135,158.5354901,219.06,0.7237080711
67,08/13/2021 10:48 PM,13.07135,158.5354901,219.06,0.7237080711
68,08/13/2021 11:03 PM,13.07,158.54,219.06,72.37%
69,08/13/2021 11:18 PM,13.07,158.54,219.06,72.37%
70,08/13/2021 11:33 PM,13.07,158.54,219.06,72.37%
71,08/13/2021 11:48 PM,13.07,158.54,219.06,72.37%
