datetime,shop,job,type_of_work,number,action,description
2023-03-05 00:20,FED,2216,Ticket,2216-1000,New Calendar Event,-
2023-03-05 01:20,FED,2216,Ticket,2216-1000,New Calendar Event,-
2023-03-05 02:20,FED,2216,Ticket,2216-1000,New Calendar Event,-
2023-03-05 03:20,FED,2216,Ticket,2216-1000,New Calendar Event,-
2023-03-05 04:20,FED,2216,Ticket,2216-1000,New Calendar Event,-
2023-03-05 05:20,FED,2216,Ticket,2216-1000,New Calendar Event,-
2023-03-05 06:20,FED,2216,Ticket,2216-1000,New Calendar Event,-
2023-03-05 07:20,FED,2216,Ticket,2216-1000,New Calendar Event,-
2023-03-05 08:20,FED,2216,Ticket,2216-1000,New Calendar Event,-
2023-03-05 09:20,FED,2216,Ticket,2216-1000,New Calendar Event,-
2023-03-05 10:20,FED,2216,Ticket,2216-1000,New Calendar Event,-
2023-03-05 11:20,FED,2216,Ticket,2216-1000,New Calendar Event,-
2023-03-05 12:20,FED,2216,Ticket,2216-1000,New Calendar Event,-
2023-03-05 13:20,FED,2216,Ticket,2216-1000,New Calendar Event,-
2023-03-05 14:20,FED,2216,Ticket,2216-1000,New Calendar Event,-
2023-03-05 15:20,FED,2216,Ticket,2216-1000,New Calendar Event,-
2023-03-05 16:20,FED,2216,Ticket,2216-1000,New Calendar Event,-
2023-03-05 17:20,FED,2216,Ticket,2216-1000,New Calendar Event,-
2023-03-05 18:20,FED,2216,Ticket,2216-1000,New Calendar Event,-
2023-03-05 19:20,FED,2216,Ticket,2216-1000,New Calendar Event,-
2023-03-05 20:20,FED,2216,Ticket,2216-1000,New Calendar Event,-
2023-03-05 21:20,FED,2216,Ticket,2216-1000,New Calendar Event,-
2023-03-05 22:20,FED,2216,Ticket,2216-1000,New Calendar Event,-
2023-03-05 22:20,CSF,2004,Ticket,2004-20.4,Change Event Date,03/09/2023 -> 03/10/2023
2023-03-05 22:20,CSF,2004,Ticket,2004-35.6,Change Event Date,03/09/2023 -> 03/10/2023
2023-03-05 23:20,FED,2216,Ticket,2216-1000,New Calendar Event,-
